TripID,LeaderID,LeaderFullName,TripStartDate,CountryVisited,campos_pendientes,fuente_ya_intentada,justificacion_original
994-BRA-CRI-36650,994,Fernando Henrique Cardoso,2000-05-04,Costa Rica,existencia_del_viaje (colt_unico),Solo fuente Itamaraty Resenha N86 (no accesible en este entorno),Unica fuente es la resenha de Itamaraty (bloqueada en este entorno); COLT le asigna confianza baja (1/5). Llama la atencion la proximidad con el viaje ya confirmado a Costa Rica del 03-06/04/2000 (men
994-BRA-CRI-37357,994,Fernando Henrique Cardoso,2002-04-11,Costa Rica,existencia_del_viaje (colt_unico),http://wnc.eastview.com/wnc/article?id=36451651 (no accesible en este entorno),El enlace de World News Connection/Eastview no pudo abrirse en este entorno (posible restriccion de acceso); no se hallo fuente alternativa independiente que confirme el viaje.
994-BRA-DOM-37577,994,Fernando Henrique Cardoso,2002-11-17,Dominican Republic,existencia_del_viaje (colt_unico),http://wnc.eastview.com/wnc/article?id=36339793 (no accesible en este entorno),El enlace de Eastview no pudo abrirse; no se hallo fuente alternativa independiente. COLT asigna confianza baja-moderada (2/5).
994-BRA-URY-37488,994,Fernando Henrique Cardoso,2002-08-20,Uruguay,existencia_del_viaje (colt_unico),http://wnc.eastview.com/wnc/article?id=36351499 (no accesible en este entorno),El enlace de Eastview no pudo abrirse; no se hallo fuente alternativa independiente. COLT asigna confianza baja-moderada (2/5).
3224-BRA-USA-42633,3224,Michel Temer,2016-09-20,United States,TripEndDate,https://news.un.org/pt/story/2016/09/1563101,Se confirma el discurso de apertura de Temer en la 71a Asamblea General de la ONU el 20/09/2016 (su primer discurso como presidente); no se hallo fuente que confirme o descarte su presencia en Nueva Y
1780-BRA-USA-38947,1780,Luiz Inacio Lula da Silva,2006-08-18,United States,existencia_del_viaje (colt_unico),"Búsqueda extensa en prensa brasileña/estadounidense y en el listado completo de viajes de Wikipedia no arrojó ningún encuentro Lula-Bush ni visita de Lula a EE.UU. en agosto de 2006; los encuentros documentados en el período son junio 2003, noviembre 2005 (Bush en Brasil) y marzo 2007 (Camp David).",No se encontró evidencia independiente que confirme ni descarte con certeza una visita a Estados Unidos el 18-19 de agosto de 2006. Dada la ausencia total de cobertura de prensa o registro en fuentes 
1780-BRA-VNM-39639,1780,Luiz Inacio Lula da Silva,2008-07-10,Vietnam,TripStartDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripStartDate: nuestro=2008-07-09 COLT=2008-07-10 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aq"
1780-BRA-IDN-39641,1780,Luiz Inacio Lula da Silva,2008-07-12,Indonesia,TripStartDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripStartDate: nuestro=2008-07-11 COLT=2008-07-12 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aq"
1780-BRA-CHN-39666,1780,Luiz Inacio Lula da Silva,2008-08-06,China,TripStartDate;TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,Diferencia de TripStartDate: nuestro=2008-08-05 COLT=2008-08-06 (dif 1d) | TripEndDate: nuestro=2008-08-08 COLT=2008-08-09 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante
1780-BRA-USA-39712,1780,Luiz Inacio Lula da Silva,2008-09-21,United States,TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripEndDate: nuestro=2008-09-25 COLT=2008-09-24 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aquí"
1780-BRA-ESP-39733,1780,Luiz Inacio Lula da Silva,2008-10-12,Spain,TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripEndDate: nuestro=2008-10-14 COLT=2008-10-13 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aquí"
1780-BRA-SLV-39750,1780,Luiz Inacio Lula da Silva,2008-10-29,El Salvador,TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripEndDate: nuestro=2008-10-31 COLT=2008-10-30 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aquí"
1780-BRA-USA-39765,1780,Luiz Inacio Lula da Silva,2008-11-13,United States,TripStartDate;TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,Diferencia de TripStartDate: nuestro=2008-11-14 COLT=2008-11-13 (dif 1d) | TripEndDate: nuestro=2008-11-15 COLT=2008-11-14 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante
1780-BRA-TUR-39953,1780,Luiz Inacio Lula da Silva,2009-05-20,Turkiye,TripStartDate;TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,Diferencia de TripStartDate: nuestro=2009-05-21 COLT=2009-05-20 (dif 1d) | TripEndDate: nuestro=2009-05-22 COLT=2009-05-21 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante
1780-BRA-CPV-40361,1780,Luiz Inacio Lula da Silva,2010-07-02,Cabo Verde,TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripEndDate: nuestro=2010-07-04 COLT=2010-07-03 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aquí"
1780-BRA-ZAF-40367,1780,Luiz Inacio Lula da Silva,2010-07-08,South Africa,TripStartDate;TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,Diferencia de TripStartDate: nuestro=2010-07-09 COLT=2010-07-08 (dif 1d) | TripEndDate: nuestro=2010-07-10 COLT=2010-07-09 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante
1780-BRA-PRT-40146,1780,Luiz Inacio Lula da Silva,2009-11-29,Portugal,TripEndDate,Verificación liviana por patrón; no se realizó búsqueda individual dedicada dado el volumen del lote,"Diferencia de TripEndDate: nuestro=2009-12-01 COLT=2009-11-30 (dif 1d). Este caso sigue una dirección ATÍPICA respecto del patrón dominante del lote (en vez de que COLT amplíe el rango de fechas, aquí"
1780-BRA-FRA-39998,1780,Luiz Inacio Lula da Silva,2009-07-04,France,existencia_del_viaje (colt_unico),Notas del registro COLT: premio Félix Houphouët-Boigny por la Paz,El Premio Félix Houphouët-Boigny de la UNESCO se entrega habitualmente en París (sede UNESCO) o en Yamoussoukro (Costa de Marfil); Lula fue laureado con este premio en 2009 según registros de la UNESC
