our_Trip_ID,our_President,our_Destination_Country,our_Start_Date,colt_TripID,classification,detail
26,Carlos Menem,Chile,1996-11-13,334-ARG-CHL-35382,Complementa,CityVisited: 'Santiago'
27,Carlos Menem,United States,1996-12-04,334-ARG-USA-35403,Complementa,CityVisited: 'Washington'
28,Carlos Menem,Vietnam,1997-02-16,334-ARG-VNM-35477,Complementa,CityVisited: 'Hanoi'
29,Carlos Menem,Thailand,1997-02-18,334-ARG-THA-35479,Complementa,CityVisited: 'Bangkok'
30,Carlos Menem,Singapore,1997-02-20,334-ARG-SGP-35481,Complementa,CityVisited: 'Singapore'
31,Carlos Menem,Brazil,1997-04-27,334-ARG-BRA-35547,Complementa,CityVisited: 'Brasília'
32,Carlos Menem,Germany,1997-05-26,334-ARG-DEU-35576,Complementa,CityVisited: 'Bonn'
33,Carlos Menem,United States,1997-06-22,334-ARG-USA-35603,Complementa,CityVisited: 'New York'
34,Carlos Menem,Paraguay,1997-08-23,334-ARG-PRY-35665,Complementa,CityVisited: 'Asunción'
35,Carlos Menem,Switzerland,1997-09-02,334-ARG-CHE-35675,Complementa,CityVisited: 'Lausanne'
36,Carlos Menem,Venezuela,1997-11-08,334-ARG-VEN-35742,Complementa,CityVisited: 'Isla Margarita'
37,Carlos Menem,Brazil,1997-11-11,334-ARG-BRA-35745,Complementa,CityVisited: 'Brasília'
38,Carlos Menem,Mexico,1997-11-24,334-ARG-MEX-35758,Complementa,CityVisited: 'Mexico City'
39,Carlos Menem,Uruguay,1997-12-15,334-ARG-URY-35779,Complementa,CityVisited: 'Montevideo'
40,Carlos Menem,Switzerland,1998-01-30,334-ARG-CHE-35825,Complementa,CityVisited: 'Davos'
41,Carlos Menem,Lebanon,1998-02-02,334-ARG-LBN-35828,Complementa,CityVisited: 'Beirut'
42,Carlos Menem,Egypt,1998-02-05,334-ARG-EGY-35831,Complementa,CityVisited: 'Cairo'
43,Carlos Menem,United States,1998-02-07,334-ARG-USA-35833,Complementa,CityVisited: 'San Francisco'
44,Carlos Menem,Australia,1998-03-27,334-ARG-AUS-35881,Complementa,CityVisited: 'Sydney'
45,Carlos Menem,New Zealand,1998-03-30,334-ARG-NZL-35884,Complementa,CityVisited: 'Wellington'
46,Carlos Menem,Chile,1998-04-18,334-ARG-CHL-35903,Complementa,CityVisited: 'Santiago'
47,Carlos Menem,Sweden,1998-05-25,334-ARG-SWE-35940,Complementa,CityVisited: 'Stockholm'
48,Carlos Menem,Norway,1998-05-28,334-ARG-NOR-35943,Complementa,CityVisited: 'Oslo'
49,Carlos Menem,Poland,1998-05-30,334-ARG-POL-35945,Complementa,CityVisited: 'Warsaw'
50,Carlos Menem,Finland,1998-05-31,334-ARG-FIN-35946,Complementa,CityVisited: 'Helsinki'
51,Carlos Menem,Russia,1998-06-25,334-ARG-RUS-35971,Complementa,CityVisited: 'Moscow'
52,Carlos Menem,Ukraine,1998-06-28,334-ARG-UKR-35974,Complementa,CityVisited: 'Kyiv'
53,Carlos Menem,Armenia,1998-06-30,334-ARG-ARM-35976,Complementa,CityVisited: 'Yerevan'
54,Carlos Menem,Paraguay,1998-08-16,334-ARG-PRY-36023,Complementa,CityVisited: 'Asunción'
55,Carlos Menem,Panama,1998-09-06,334-ARG-PAN-36044,Complementa,CityVisited: 'Panama City'
56,Carlos Menem,Barbados,1998-09-07,334-ARG-BRB-36045,Complementa,CityVisited: 'Bridgetown'
57,Carlos Menem,Trinidad and Tobago,1998-09-08,334-ARG-TTO-36046,Complementa,CityVisited: 'Port of Spain'
58,Carlos Menem,Jamaica,1998-09-10,334-ARG-JAM-36048,Complementa,CityVisited: 'Kingston'
59,Carlos Menem,United States,1998-10-06,334-ARG-USA-36074,Complementa,CityVisited: 'Washington'
60,Carlos Menem,France,1998-10-12,334-ARG-FRA-36080,Complementa,CityVisited: 'Paris'
61,Carlos Menem,Brazil,1998-10-26,334-ARG-BRA-36094,Complementa,CityVisited: 'Brasília'
62,Carlos Menem,United Kingdom,1998-10-28,334-ARG-GBR-36096,Complementa,CityVisited: 'London'
63,Carlos Menem,Japan,1998-11-29,334-ARG-JPN-36128,Complementa,CityVisited: 'Tokyo'
64,Carlos Menem,Vatican City,1998-12-13,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 1998-12-13 - 1998-12-13
65,Carlos Menem,Brazil,1999-01-04,334-ARG-BRA-36164,Complementa,CityVisited: 'Brasília'
66,Carlos Menem,United States,1999-01-11,334-ARG-USA-36171,Complementa,CityVisited: 'Washington'
67,Carlos Menem,Venezuela,1999-02-02,334-ARG-VEN-36193,Complementa,CityVisited: 'Caracas'
68,Carlos Menem,Brazil,1999-02-12,334-ARG-BRA-36203,Complementa,CityVisited: 'Brasília'
69,Carlos Menem,Brazil,1999-02-22,334-ARG-BRA-36213,Complementa,CityVisited: 'Brasília'
70,Carlos Menem,United States,1999-03-22,334-ARG-USA-36241,Complementa,CityVisited: 'Washington'
71,Carlos Menem,Italy,1999-03-28,334-ARG-ITA-36247,Complementa,CityVisited: 'Rome'
72,Carlos Menem,Chile,1999-05-07,334-ARG-CHL-36287,Complementa,CityVisited: 'Santiago'
73,Carlos Menem,Paraguay,1999-06-14,334-ARG-PRY-36325,Complementa,CityVisited: 'Asunción'
74,Carlos Menem,United States,1999-06-16,334-ARG-USA-36327,Complementa,CityVisited: 'New York'
75,Carlos Menem,Brazil,1999-06-28,334-ARG-BRA-36339,Complementa,CityVisited: 'Rio de Janeiro'
76,Carlos Menem,Chile,1999-08-20,334-ARG-CHL-36392,Complementa,CityVisited: 'Santiago'
77,Carlos Menem,United States,1999-09-21,334-ARG-USA-36424,Complementa,CityVisited: 'New York'
78,Carlos Menem,Colombia,1999-09-27,334-ARG-COL-36430,Complementa,CityVisited: 'Bogotá'
79,Carlos Menem,United States,1999-09-30,334-ARG-USA-36433,Complementa,CityVisited: 'Washington'
80,Carlos Menem,Brazil,1999-10-21,334-ARG-BRA-36454,Complementa,CityVisited: 'Brasília'
81,Carlos Menem,United States,1999-11-18,334-ARG-USA-36482,Complementa,CityVisited: 'New York'
82,Carlos Menem,Vatican City,1999-11-21,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 1999-11-21 - 1999-11-21
83,Fernando de la Rúa,Sweden,2000-01-25,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Sweden en fechas 2000-01-25 - 2000-01-27
84,Fernando de la Rúa,Switzerland,2000-01-27,1473-ARG-CHE-36553,Complementa,CityVisited: 'Davos'
85,Fernando de la Rúa,Germany,2000-06-02,1473-ARG-DEU-36681,Complementa,CityVisited: 'Berlin'
86,Fernando de la Rúa,United States,2000-06-12,1473-ARG-USA-36689,Complementa,CityVisited: 'Washington D.C.'
87,Fernando de la Rúa,Colombia,2000-06-15,1473-ARG-COL-36692,Complementa,CityVisited: 'Cartagena de Indias'
88,Fernando de la Rúa,Brazil,2000-08-31,1473-ARG-BRA-36770,Complementa,CityVisited: 'Brasilia'
89,Fernando de la Rúa,United States,2000-09-06,1473-ARG-USA-36775,Complementa,CityVisited: 'New York'
90,Fernando de la Rúa,China,2000-09-10,1473-ARG-CHN-36779,Complementa,CityVisited: 'Beijing'
91,Fernando de la Rúa,Spain,2000-10-24,1473-ARG-ESP-36823,Complementa,CityVisited: 'Madrid'
92,Fernando de la Rúa,Bolivia,2000-11-05,1473-ARG-BOL-36835,Complementa,CityVisited: 'La Paz'
93,Fernando de la Rúa,Panama,2000-11-17,1473-ARG-PAN-36847,Complementa,CityVisited: 'Panamá'
94,Fernando de la Rúa,Mexico,2000-11-30,1473-ARG-MEX-36860,Complementa,CityVisited: 'Ciudad de México'
95,Fernando de la Rúa,Costa Rica,2000-12-04,1473-ARG-CRI-36864,Complementa,CityVisited: 'San José'
96,Fernando de la Rúa,Brazil,2000-12-14,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Brazil en fechas 2000-12-14 - 2000-12-15
97,Fernando de la Rúa,Italy,2001-04-02,1473-ARG-ITA-36983,Complementa,CityVisited: 'Roma'
98,Fernando de la Rúa,Vatican City,2001-04-05,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 2001-04-05 - 2001-04-05
99,Fernando de la Rúa,United States,2001-04-16,1473-ARG-USA-36997,Complementa,CityVisited: 'Washington D.C.'
100,Fernando de la Rúa,Canada,2001-04-20,1473-ARG-CAN-37001,Complementa,CityVisited: 'Quebec City'
101,Fernando de la Rúa,Paraguay,2001-06-21,1473-ARG-PRY-37064,Complementa,CityVisited: 'Asunción'
102,Fernando de la Rúa,Brazil,2001-07-31,1473-ARG-BRA-37103,Complementa,CityVisited: 'Foz de Iguaçu'
103,Fernando de la Rúa,Chile,2001-08-17,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Chile en fechas 2001-08-17 - 2001-08-18
104,Fernando de la Rúa,Spain,2001-10-15,1473-ARG-ESP-37179,Complementa,CityVisited: 'Valladolid'
105,Fernando de la Rúa,United States,2001-11-09,1473-ARG-USA-37205,Complementa,CityVisited: 'New York'
106,Fernando de la Rúa,Peru,2001-11-23,1473-ARG-PER-37217,Complementa,CityVisited: 'Lima'
107,Eduardo Duhalde,Mexico,2002-03-21,1689-ARG-MEX-37335,Complementa,CityVisited: 'Monterrey'
108,Eduardo Duhalde,Costa Rica,2002-04-11,1689-ARG-CRI-37358,Complementa,CityVisited: 'San José'
109,Eduardo Duhalde,Spain,2002-05-17,1689-ARG-ESP-37393,Complementa,CityVisited: 'Madrid'
110,Eduardo Duhalde,Italy,2002-05-20,1689-ARG-ITA-37396,Complementa,CityVisited: 'Roma'
111,Eduardo Duhalde,Ecuador,2002-07-26,1689-ARG-ECU-37463,Complementa,CityVisited: 'Guayaquil'
113,Eduardo Duhalde,Brazil,2002-09-26,1689-ARG-BRA-37524,Complementa,CityVisited: 'Brasilia'
114,Eduardo Duhalde,Chile,2002-10-29,1689-ARG-CHL-37558,Complementa,CityVisited: 'Santiago'
115,Eduardo Duhalde,Dominican Republic,2002-11-15,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Dominican Republic en fechas 2002-11-15 - 2002-11-16
116,Eduardo Duhalde,Brazil,2002-12-05,1689-ARG-BRA-37596,Complementa,CityVisited: 'Brasilia'
117,Eduardo Duhalde,Brazil,2003-01-01,1689-ARG-BRA-37622,Complementa,CityVisited: 'Brasilia'
118,Eduardo Duhalde,Brazil,2003-01-14,1689-ARG-BRA-37635,Complementa,CityVisited: 'Brasilia'
119,Eduardo Duhalde,Switzerland,2003-01-25,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Switzerland en fechas 2003-01-25 - 2003-01-27
121,Eduardo Duhalde,Vatican City,2003-04-06,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 2003-04-06 - 2003-04-07
122,Eduardo Duhalde,Spain,2003-04-08,1689-ARG-ESP-37719,Complementa,CityVisited: 'Madrid'
123,Eduardo Duhalde,Chile,2003-04-23,1689-ARG-CHL-37734,Complementa,CityVisited: 'Santiago'
124,Néstor Kirchner,Brazil,2003-06-11,1826-ARG-BRA-37786,Complementa,CityVisited: 'Brasília'
125,Néstor Kirchner,Paraguay,2003-06-17,1826-ARG-PRY-37790,Complementa,CityVisited: 'Asunción'
126,Néstor Kirchner,Spain,2003-07-12,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Spain en fechas 2003-07-12 - 2003-07-12
127,Néstor Kirchner,United Kingdom,2003-07-13,1826-ARG-GBR-37812,Complementa,CityVisited: 'London'
128,Néstor Kirchner,United States,2003-07-23,1826-ARG-USA-37824,Complementa,CityVisited: 'Washington D.C.'
129,Néstor Kirchner,United States,2003-09-25,1826-ARG-USA-37886,Complementa,CityVisited: 'New York'
130,Néstor Kirchner,Bolivia,2003-11-14,1826-ARG-BOL-37939,Complementa,CityVisited: 'Santa Cruz de la Sierra'
131,Néstor Kirchner,Mexico,2004-01-12,1826-ARG-MEX-37998,Complementa,CityVisited: 'Monterrey'
132,Néstor Kirchner,Spain,2004-01-26,1826-ARG-ESP-38013,Complementa,CityVisited: 'Madrid'
133,Néstor Kirchner,Venezuela,2004-02-27,1826-ARG-VEN-38044,Complementa,CityVisited: 'Caracas'
134,Néstor Kirchner,Brazil,2004-03-15,1826-ARG-BRA-38062,Complementa,CityVisited: 'Rio de Janeiro'
135,Néstor Kirchner,United States,2004-05-04,1826-ARG-USA-38111,Complementa,CityVisited: 'New York'
136,Néstor Kirchner,China,2004-06-28,1826-ARG-CHN-38166,Complementa,CityVisited: 'Beijing'
137,Néstor Kirchner,Bolivia,2004-07-22,1826-ARG-BOL-38190,Complementa,CityVisited: 'Tarija'
138,Néstor Kirchner,Venezuela,2004-07-24,1826-ARG-VEN-38192,Complementa,CityVisited: 'Caracas'
139,Néstor Kirchner,United States,2004-09-21,1826-ARG-USA-38251,Complementa,CityVisited: 'New York'
140,Néstor Kirchner,Bolivia,2004-10-14,1826-ARG-BOL-38274,Complementa,CityVisited: 'Sucre'
141,Néstor Kirchner,Costa Rica,2004-11-18,1826-ARG-CRI-38309,Complementa,CityVisited: 'San José'
142,Néstor Kirchner,Brazil,2004-12-16,1826-ARG-BRA-38338,Complementa,CityVisited: 'Ouro Preto'
143,Néstor Kirchner,France,2005-01-19,1826-ARG-FRA-38371,Complementa,CityVisited: 'Paris'
144,Néstor Kirchner,Uruguay,2005-03-01,1826-ARG-URY-38412,Complementa,CityVisited: 'Montevideo'
145,Néstor Kirchner,Chile,2005-03-14,1826-ARG-CHL-38425,Complementa,CityVisited: 'Santiago'
146,Néstor Kirchner,Germany,2005-04-11,1826-ARG-DEU-38453,Complementa,CityVisited: 'Berlin'
147,Néstor Kirchner,Vatican City,2005-04-24,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 2005-04-24 - 2005-04-24
148,Néstor Kirchner,Brazil,2005-05-10,1826-ARG-BRA-38481,Complementa,CityVisited: 'Brasília'
149,Néstor Kirchner,Paraguay,2005-06-19,1826-ARG-PRY-38522,Complementa,CityVisited: 'Asunción'
150,Néstor Kirchner,United States,2005-09-14,1826-ARG-USA-38608,Complementa,CityVisited: 'New York'
151,Néstor Kirchner,Spain,2005-10-14,1826-ARG-ESP-38638,Complementa,CityVisited: 'Salamanca'
152,Néstor Kirchner,Venezuela,2005-11-21,1826-ARG-VEN-38677,Complementa,CityVisited: 'Ciudad Guayana'
153,Néstor Kirchner,Uruguay,2005-12-09,1826-ARG-URY-38695,Complementa,CityVisited: 'Montevideo'
154,Néstor Kirchner,Brazil,2006-01-18,1826-ARG-BRA-38735,Complementa,CityVisited: 'Brasília'
155,Néstor Kirchner,Bolivia,2006-01-22,1826-ARG-BOL-38739,Complementa,CityVisited: 'La Paz'
156,Néstor Kirchner,Chile,2006-03-10,1826-ARG-CHL-38786,Complementa,CityVisited: 'Valparaíso'
157,Néstor Kirchner,Brazil,2006-04-25,1826-ARG-BRA-38832,Complementa,CityVisited: 'São Paulo'
158,Néstor Kirchner,Austria,2006-05-11,1826-ARG-AUT-38848,Complementa,CityVisited: 'Vienna'
159,Néstor Kirchner,Spain,2006-06-21,1826-ARG-ESP-38889,Complementa,CityVisited: 'Madrid'
160,Néstor Kirchner,Venezuela,2006-07-04,1826-ARG-VEN-38902,Complementa,CityVisited: 'Caracas'
161,Néstor Kirchner,Paraguay,2006-07-17,1826-ARG-PRY-38915,Complementa,CityVisited: 'Asunción'
162,Néstor Kirchner,United States,2006-09-19,1826-ARG-USA-38979,Complementa,CityVisited: 'New York'
163,Néstor Kirchner,Bolivia,2006-10-19,1826-ARG-BOL-39009,Complementa,CityVisited: 'Santa Cruz de la Sierra'
164,Néstor Kirchner,Uruguay,2006-11-04,1826-ARG-URY-39025,Complementa,CityVisited: 'Montevideo'
165,Néstor Kirchner,Brazil,2007-01-18,1826-ARG-BRA-39101,Complementa,CityVisited: 'Rio de Janeiro'
166,Néstor Kirchner,Venezuela,2007-02-20,1826-ARG-VEN-39133,Complementa,CityVisited: 'Caracas'
167,Néstor Kirchner,Venezuela,2007-04-16,1826-ARG-VEN-39188,Complementa,CityVisited: 'Isla Margarita'
168,Néstor Kirchner,Paraguay,2007-06-28,1826-ARG-PRY-39260,Complementa,CityVisited: 'Asunción'
169,Néstor Kirchner,Mexico,2007-07-29,1826-ARG-MEX-39292,Complementa,CityVisited: 'Mexico City'
170,Néstor Kirchner,Bolivia,2007-08-10,1826-ARG-BOL-39302,Complementa,CityVisited: 'Tarija'
171,Néstor Kirchner,United States,2007-09-25,1826-ARG-USA-39349,Complementa,CityVisited: 'New York'
172,Néstor Kirchner,Chile,2007-11-08,1826-ARG-CHL-39394,Complementa,CityVisited: 'Santiago'
173,Cristina Fernández de Kirchner,Uruguay,2007-12-18,2320-ARG-URY-39433,Complementa,CityVisited: 'Montevideo'
174,Cristina Fernández de Kirchner,Brazil,2008-02-22,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Brazil en fechas 2008-02-22 - 2008-02-22
175,Cristina Fernández de Kirchner,Haiti,2008-03-06,2320-ARG-HTI-39513,Complementa,CityVisited: 'Port-au-Prince'
176,Cristina Fernández de Kirchner,Venezuela,2008-03-06,2320-ARG-VEN-39513,Complementa,CityVisited: 'Caracas'
177,Cristina Fernández de Kirchner,Dominican Republic,2008-03-07,2320-ARG-DOM-39514,Complementa,CityVisited: 'Santo Domingo'
178,Cristina Fernández de Kirchner,France,2008-04-06,2320-ARG-FRA-39544,Complementa,CityVisited: 'Paris'
179,Cristina Fernández de Kirchner,Peru,2008-05-16,2320-ARG-PER-39584,Complementa,CityVisited: 'Lima'
180,Cristina Fernández de Kirchner,Brazil,2008-05-23,2320-ARG-BRA-39591,Complementa,CityVisited: 'Brasília'
181,Cristina Fernández de Kirchner,Venezuela,2008-06-01,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Venezuela en fechas 2008-06-01 - 2008-06-01
182,Cristina Fernández de Kirchner,Italy,2008-06-03,2320-ARG-ITA-39601,Complementa,CityVisited: 'Roma'
183,Cristina Fernández de Kirchner,Paraguay,2008-08-15,2320-ARG-PRY-39674,Complementa,CityVisited: 'Asunción'
184,Cristina Fernández de Kirchner,Brazil,2008-09-07,2320-ARG-BRA-39697,Complementa,CityVisited: 'Brasília'
185,Cristina Fernández de Kirchner,Chile,2008-09-15,2320-ARG-CHL-39706,Complementa,CityVisited: 'Santiago'
186,Cristina Fernández de Kirchner,United States,2008-09-23,2320-ARG-USA-39714,Complementa,CityVisited: 'New York'
187,Cristina Fernández de Kirchner,El Salvador,2008-10-29,2320-ARG-SLV-39750,Complementa,CityVisited: 'San Salvador'
188,Cristina Fernández de Kirchner,United States,2008-11-14,2320-ARG-USA-39766,Complementa,CityVisited: 'Washington D.C.'
189,Cristina Fernández de Kirchner,Algeria,2008-11-16,2320-ARG-DZA-39768,Complementa,CityVisited: 'Algiers'
190,Cristina Fernández de Kirchner,Tunisia,2008-11-18,2320-ARG-TUN-39769,Complementa,CityVisited: 'Tunis'
191,Cristina Fernández de Kirchner,Egypt,2008-11-20,2320-ARG-EGY-39771,Complementa,CityVisited: 'Cairo'
192,Cristina Fernández de Kirchner,Libya,2008-11-21,2320-ARG-LBY-39772,Complementa,CityVisited: 'Tripoli'
193,Cristina Fernández de Kirchner,Chile,2008-12-04,2320-ARG-CHL-39786,Complementa,CityVisited: 'Punta Arenas'
194,Cristina Fernández de Kirchner,Russia,2008-12-09,2320-ARG-RUS-39791,Complementa,CityVisited: 'Moscow'
195,Cristina Fernández de Kirchner,Brazil,2008-12-16,2320-ARG-BRA-39798,Complementa,"CityVisited: 'Costa do Sauípe (Salvador, Bahía)'"
196,Cristina Fernández de Kirchner,Cuba,2009-01-19,2320-ARG-CUB-39832,Complementa,CityVisited: 'Havana'
197,Cristina Fernández de Kirchner,Venezuela,2009-01-22,2320-ARG-VEN-39835,Complementa,CityVisited: 'Caracas'
198,Cristina Fernández de Kirchner,Spain,2009-02-07,2320-ARG-ESP-39853,Complementa,CityVisited: 'Madrid'
199,Cristina Fernández de Kirchner,Brazil,2009-03-19,2320-ARG-BRA-39892,Complementa,CityVisited: 'São Paulo'
200,Cristina Fernández de Kirchner,Chile,2009-03-27,2320-ARG-CHL-39899,Complementa,CityVisited: 'Viña del Mar'
201,Cristina Fernández de Kirchner,Qatar,2009-03-30,2320-ARG-QAT-39902,Complementa,CityVisited: 'Doha'
202,Cristina Fernández de Kirchner,United Kingdom,2009-04-01,2320-ARG-GBR-39904,Complementa,CityVisited: 'London'
203,Cristina Fernández de Kirchner,Trinidad and Tobago,2009-04-17,2320-ARG-TTO-39920,Complementa,CityVisited: 'Port of Spain'
204,Cristina Fernández de Kirchner,Switzerland,2009-06-14,2320-ARG-CHE-39979,Complementa,CityVisited: 'Geneva'
205,Cristina Fernández de Kirchner,El Salvador,2009-07-05,2320-ARG-SLV-39999,Complementa,CityVisited: 'San Salvador'
206,Cristina Fernández de Kirchner,Paraguay,2009-07-23,2320-ARG-PRY-40017,Complementa,CityVisited: 'Asunción'
207,Cristina Fernández de Kirchner,Ecuador,2009-08-09,2320-ARG-ECU-40034,Complementa,CityVisited: 'Quito'
208,Cristina Fernández de Kirchner,Venezuela,2009-08-11,2320-ARG-VEN-40036,Complementa,CityVisited: 'Caracas'
209,Cristina Fernández de Kirchner,United States,2009-09-23,2320-ARG-USA-40077,Complementa,CityVisited: 'New York'
210,Cristina Fernández de Kirchner,United States,2009-09-24,2320-ARG-USA-40077,Complementa,CityVisited: 'Pittsburgh'
211,Cristina Fernández de Kirchner,Venezuela,2009-09-26,2320-ARG-VEN-40082,Complementa,CityVisited: 'Isla Margarita'
212,Cristina Fernández de Kirchner,India,2009-10-13,2320-ARG-IND-40099,Complementa,CityVisited: 'New Delhi'
213,Cristina Fernández de Kirchner,Chile,2009-10-29,2320-ARG-CHL-40115,Complementa,CityVisited: 'Santiago'
214,Cristina Fernández de Kirchner,Vatican City,2009-11-27,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Vatican City en fechas 2009-11-27 - 2009-11-28
215,Cristina Fernández de Kirchner,Portugal,2009-11-29,2320-ARG-PRT-40147,Complementa,CityVisited: 'Estoril'
216,Cristina Fernández de Kirchner,Uruguay,2009-12-08,2320-ARG-URY-40156,Complementa,CityVisited: 'Montevideo'
218,Cristina Fernández de Kirchner,Mexico,2010-02-22,2320-ARG-MEX-40231,Complementa,CityVisited: 'Cancún'
219,Cristina Fernández de Kirchner,Uruguay,2010-03-01,2320-ARG-URY-40238,Complementa,CityVisited: 'Montevideo'
220,Cristina Fernández de Kirchner,Chile,2010-03-11,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Chile en fechas 2010-03-11 - 2010-03-11
221,Cristina Fernández de Kirchner,Peru,2010-03-21,2320-ARG-PER-40259,Complementa,CityVisited: 'Lima'
222,Cristina Fernández de Kirchner,Bolivia,2010-03-26,2320-ARG-BOL-40263,Complementa,CityVisited: 'Sucre'
223,Cristina Fernández de Kirchner,United States,2010-04-12,2320-ARG-USA-40278,Complementa,CityVisited: 'Washington D.C.'
224,Cristina Fernández de Kirchner,Venezuela,2010-04-18,2320-ARG-VEN-40287,Complementa,CityVisited: 'Caracas'
225,Cristina Fernández de Kirchner,Spain,2010-05-17,2320-ARG-ESP-40315,Complementa,CityVisited: 'Madrid'
226,Cristina Fernández de Kirchner,Brazil,2010-05-27,2320-ARG-BRA-40325,Complementa,CityVisited: 'Rio de Janeiro'
227,Cristina Fernández de Kirchner,Uruguay,2010-06-02,2320-ARG-URY-40331,Complementa,CityVisited: 'Montevideo'
228,Cristina Fernández de Kirchner,Canada,2010-06-26,2320-ARG-CAN-40354,Complementa,CityVisited: 'Toronto'
229,Cristina Fernández de Kirchner,China,2010-07-12,2320-ARG-CHN-40370,Complementa,CityVisited: 'Beijing'
230,Cristina Fernández de Kirchner,United States,2010-09-24,2320-ARG-USA-40443,Complementa,CityVisited: 'New York'
231,Cristina Fernández de Kirchner,Germany,2010-10-03,2320-ARG-DEU-40454,Complementa,CityVisited: 'Frankfurt'
232,Cristina Fernández de Kirchner,South Korea,2010-11-11,2320-ARG-KOR-40493,Complementa,CityVisited: 'Seoul'
233,Cristina Fernández de Kirchner,Guyana,2010-11-26,2320-ARG-GUY-40508,Complementa,CityVisited: 'Georgetown'
234,Cristina Fernández de Kirchner,Brazil,2010-12-17,2320-ARG-BRA-40529,Complementa,CityVisited: 'Foz do Iguaçu'
235,Cristina Fernández de Kirchner,Kuwait,2011-01-16,,Complementa (viaje ausente en COLT),COLT no registra ningun viaje de Argentina a Kuwait en fechas 2011-01-16 - 2011-01-17
236,Cristina Fernández de Kirchner,Qatar,2011-01-18,2320-ARG-QAT-40562,Complementa,CityVisited: 'Doha'
