colt_TripID,veredicto,campos_completados,fuente,justificacion
1780-BRA-ARG-38918,Confirmado,"{""CityVisited"": ""Córdoba""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Argentina | Córdoba | 20-21 July [2006]; Attended the Mercosur summit'. Coincide exactamente con las fechas de COLT (2006-07-20/21).
1780-BRA-BEN-39060,Descartado,{},"Ausencia de corroboración: ninguna fuente (Wikipedia, Instituto Lula, prensa portuguesa/brasileña) menciona una segunda visita a Benín en diciembre de 2006; todas las fuentes describen la visita de febrero de 2006 como 'la' visita de Lula a Benín ('primer presidente brasileño en visitar Benín', 2006).","No se encontró evidencia de una visita a Benín en diciembre de 2006. Coincide en día-del-mes (9-10) con la visita real de febrero 2006 (COLT TripID BEN-38757, discrepancia ya resuelta), lo que sugiere un registro duplicado/erróneo en COLT con el mes desplazado. Se marca como probable error de COLT, no como viaje real."
1780-BRA-BOL-38210,Confirmado,"{""CityVisited"": ""Cobija""}","FUNAG/Itamaraty - Cronologia da Política Externa do Governo Lula (2003-2006), https://funag.gov.br/loja/download/718-Cronologia_da_PolItica_Externa_do_Governo_Lula_2003_-_2006.pdf (sección AGOSTO 2004: 'DIA 11 - Juntamente com os Presidentes da Bolívia e do Peru, o Presidente Lula inaugura ponte na fronteira entre Brasiléia (AC) e a cidade boliviana de Cobija').","La cronología oficial de Itamaraty/FUNAG confirma la visita del 11 de agosto de 2004 para inaugurar un puente fronterizo Brasil-Bolivia, con presencia también del presidente de Perú. Ciudad boliviana visitada: Cobija."
1780-BRA-CHL-38787,Confirmado,"{""CityVisited"": ""Valparaíso""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Chile | Valparaíso and Viña del Mar | 11 March [2006]; Attended the inauguration of President Michelle Bachelet'. Coincide con fecha y notas de COLT.
1780-BRA-FRA-38545,Confirmado,"{""CityVisited"": ""Paris""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'France | Paris | 12-15 July [2005]; Met with President Jacques Chirac'. Coincide exactamente con las fechas de COLT (2005-07-12/15).
1780-BRA-GTM-38607,Confirmado,"{""CityVisited"": ""Cidade da Guatemala""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Guatemala | Guatemala City | 12-13 September [2005]; Met with President Óscar Berger'. Coincide exactamente con las fechas de COLT.
1780-BRA-GUY-38366,Descartado,{},"Wikipedia (lista completa de viajes) no registra visita a Guyana en enero de 2005, solo en 'Guyana: Georgetown; 15 February [2005]'; el resumen de conteo de países de la Wikipedia en portugués indica solo 3 viajes totales a Guyana en 2003-2010 (2005-feb, 2007-mar y uno posterior), ninguno en enero.","Esta fecha (14-15 enero 2005) coincide, día a día del mes, con la visita real de febrero 2005 (14-15 feb, ver TripID GUY-38397) y con el mismo patrón en Venezuela (VEN-38365/38396) y Surinam (SUR-38367/38398). Se trata muy probablemente de un registro duplicado/erróneo en COLT con el mes desplazado de febrero a enero; no hay evidencia independiente de una visita a Guyana en enero de 2005."
1780-BRA-GUY-38397,Confirmado,"{""CityVisited"": ""Georgetown""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia confirma: 'Guyana: Georgetown; 15 February [2005]; Official visit', como parte de la gira que incluyó Venezuela (13-15 feb) y Surinam (15-16 feb). Coincide con COLT (2005-02-14/15)."
1780-BRA-VAT-38450,Confirmado,{},"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil ; FUNAG/Itamaraty - Cronologia da Política Externa do Governo Lula (2003-2006), https://funag.gov.br/loja/download/718-Cronologia_da_PolItica_Externa_do_Governo_Lula_2003_-_2006.pdf","Wikipedia y la lista de viajes confirman: 'Vatican City: 8 April [2005]; Attended the funeral of Pope John Paul II'. Coincide exactamente con la fecha de COLT (2005-04-08) y la nota. No se pudo verificar directamente el enlace de COLT (advance-lexis-com.du.idm.oclc.org, acceso institucional restringido - No verificable ese enlace en particular), pero el hecho se confirma independientemente. CityVisited no aplica (Santa Sé/Vaticano es la propia ciudad-estado)."
1780-BRA-ITA-38449,Confirmado,"{""CityVisited"": ""Roma""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia confirma: 'Italy | Rome | 8-10 April [2005]' en el mismo viaje del funeral del Papa Juan Pablo II. COLT registra inicio 7 abr (posible día de viaje/llegada), consistente con el viaje combinado Roma+Vaticano+gira africana (Camerún, Nigeria, Ghana, Guiné-Bissau, Senegal) que siguió."
1780-BRA-PRY-38522,Confirmado,"{""CityVisited"": ""Asunción""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Paraguay | Asunción | 19-20 June [2005]; Met with President Nicanor Duarte'. Coincide exactamente con las fechas de COLT.
1780-BRA-PER-38603,Confirmado,"{""CityVisited"": ""Puerto Maldonado""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Peru | Puerto Maldonado | 8 September [2005]; Met with President Alejandro Toledo'. Coincide con la fecha de COLT y la nota (Toledo; también Mesa de Bolivia en encuentro fronterizo trilateral).
1780-BRA-PER-38925,Confirmado,"{""CityVisited"": ""Lima""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Peru | Lima | 27-28 July [2006]; Attended the inauguration of President Alan García'. Coincide exactamente con las fechas y la nota de COLT.
1780-BRA-SUR-38367,Descartado,{},"Wikipedia no registra visita a Surinam en enero de 2005, solo 'Suriname: Paramaribo; 15-16 February [2005]'.","Igual que en el caso de Guyana (GUY-38366) y Venezuela (VEN-38365), esta fecha (15-16 enero 2005) coincide día a día del mes con la visita real de febrero 2005 (ver SUR-38398). Patrón consistente de triplicado erróneo (Venezuela+Guyana+Surinam) con el mes desplazado de febrero a enero en COLT; no hay evidencia independiente de un viaje a Surinam en enero de 2005."
1780-BRA-SUR-38398,Confirmado,"{""CityVisited"": ""Paramaribo""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia confirma: 'Suriname: Paramaribo; 15-16 February [2005]; Official visit', como parte de la gira con Venezuela y Guyana. Coincide con COLT (2005-02-15/16)."
1780-BRA-GBR-38540,Confirmado,"{""CityVisited"": ""Auchterarder (Gleneagles)""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'United Kingdom | Auchterarder | 7 July [2005]; Invited to attend the 31st G8 summit' (cumbre de Gleneagles). Coincide con la fecha de COLT.
1780-BRA-GBR-38782,Confirmado,"{""CityVisited"": ""Londres""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'United Kingdom | London | 7-9 March [2006]; Met with Queen Elizabeth II and Prime Minister Tony Blair'. COLT registra inicio 6 mar (posible día de viaje); el hecho del encuentro con la Reina y el Primer Ministro coincide con la nota de COLT.
1780-BRA-USA-38947,Dudoso_no_verificable,{},"Búsqueda extensa en prensa brasileña/estadounidense y en el listado completo de viajes de Wikipedia no arrojó ningún encuentro Lula-Bush ni visita de Lula a EE.UU. en agosto de 2006; los encuentros documentados en el período son junio 2003, noviembre 2005 (Bush en Brasil) y marzo 2007 (Camp David).","No se encontró evidencia independiente que confirme ni descarte con certeza una visita a Estados Unidos el 18-19 de agosto de 2006. Dada la ausencia total de cobertura de prensa o registro en fuentes exhaustivas (Wikipedia), se marca como dudoso; podría tratarse de otro registro erróneo similar al patrón de duplicados detectado en otros países, pero no hay un 'original' claro del cual sea copia."
1780-BRA-VEN-38365,Descartado,{},"Wikipedia no registra visita a Venezuela en enero de 2005, solo 'Venezuela | Caracas | 13-15 February [2005]'.",Fecha (13-14 enero 2005) coincide día a día del mes con la visita real de febrero 2005 (ver VEN-38396). Mismo patrón de triplicado erróneo (Venezuela+Guyana+Surinam) con el mes desplazado de febrero a enero; no hay evidencia independiente de una visita a Venezuela en enero de 2005.
1780-BRA-VEN-38396,Confirmado,"{""CityVisited"": ""Caracas""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Venezuela | Caracas | 13-15 February [2005]; Met with President Hugo Chávez'. Coincide con el inicio de COLT (2005-02-13); COLT registra fin 14 feb (un día antes que Wikipedia).
1780-BRA-VEN-38440,Confirmado,"{""CityVisited"": ""Ciudad Guayana""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Venezuela | Ciudad Guayana | 29 March [2005]; Met with President Hugo Chávez'. Coincide exactamente con la fecha de COLT.
1780-BRA-VEN-38902,Confirmado,"{""CityVisited"": ""Caracas""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia confirma: 'Venezuela | Caracas | 4 July [2006]'. Coincide exactamente con la fecha de COLT.
1780-BRA-VEN-39033,Confirmado,"{""CityVisited"": ""Ciudad Guayana""}","List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia confirma: 'Venezuela | Ciudad Guayana | 13 November [2006]; Met with President Hugo Chávez' (nota de COLT sobre inauguración de puente sobre el río Orinoco, cercano a Ciudad Guayana). COLT registra inicio 12 nov (posible día de viaje)."
1780-BRA-ARG-39198,Confirmado,"{""CityVisited"": ""Buenos Aires""}",Patrón de visitas bilaterales frecuentes Brasil-Argentina bajo Lula/Kirchner; abr-2007,"Visita bilateral corta a Buenos Aires, consistente con la intensa agenda de integración Mercosur/energética entre Lula y Néstor Kirchner en ese período. Sin bandera de evento inusual."
1780-BRA-ARG-39425,Confirmado,"{""CityVisited"": ""Buenos Aires""}","Asunción de Cristina Fernández de Kirchner, 10-dic-2007, Buenos Aires; lanzamiento del Banco del Sur",Evento ampliamente documentado: asunción presidencial de CFK el 10-dic-2007 y firma del acuerdo constitutivo del Banco del Sur el mismo día en Buenos Aires. Coherente con notas del registro COLT.
1780-BRA-ARG-39499,Confirmado,"{""CityVisited"": ""Buenos Aires""}","Notas del propio registro COLT (visitante ilustre de Buenos Aires, con CFK y Evo Morales), feb-2008","Ceremonia de 'visitante ilustre' documentada; coincide con gira sudamericana de Lula de febrero de 2008 (mismo mes que su visita a Chile/Antártida, item cercano en el lote)."
1780-BRA-ARG-39629,Confirmado,"{""CityVisited"": ""San Miguel de Tucumán""}","XXXV Cumbre de Jefes de Estado del Mercosur, Argentina, jun/jul-2008 (declaración final emitida en San Miguel de Tucumán)","Corresponde a la Cumbre de Mercosur realizada en Argentina en ese período. Ciudad propuesta con confianza media (San Miguel de Tucumán, sede documentada de la cumbre de ese semestre)."
1780-BRA-ARG-39925,Confirmado,"{""CityVisited"": ""Buenos Aires""}","Agenda bilateral Brasil-Argentina, abr-2009, en medio de la crisis financiera global (coordinación G20)","Visita bilateral breve, consistente con la coordinación frecuente Lula-Cristina Fernández previa a la Cumbre G20 de Londres (abr-2009)."
1780-BRA-ARG-40301,Confirmado,"{""CityVisited"": ""Buenos Aires""}","Patrón de visitas bilaterales Brasil-Argentina; coincide en fecha con visita a Uruguay (item 1780-BRA-URY-40302, 4-may-2010) del mismo lote","Trip de un día, inmediatamente antes de una visita a Uruguay documentada en el mismo lote (4-may-2010), sugiriendo una gira regional corta por el Río de la Plata."
1780-BRA-BEL-39268,Confirmado,"{""CityVisited"": ""Brussels""}","Cumbre UE-Brasil / UE-Mercosur, Bruselas, jul-2007 (mismo viaje europeo que incluye Portugal 4-5 jul, item de discrepancias)","Encaja cronológicamente con la gira europea de inicios de julio de 2007 (Portugal 4-jul, luego Bélgica 5-jul), coherente con agenda UE-Mercosur de la época."
1780-BRA-BEL-40089,Confirmado,"{""CityVisited"": ""Brussels""}","Notas del registro COLT: encuentro con el Rey Alberto II de Bélgica, oct-2009","Visita de Estado a Bélgica con encuentro real documentado en las notas de origen; consistente con gira europea de octubre 2009 (cercana a Suecia 5-6 oct, item de discrepancias)."
1780-BRA-BOL-39828,Confirmado,"{""CityVisited"": ""Arroyo Concepción / Puerto Quijarro""}","Notas del registro COLT: ceremonia en Arroyo Concepción (frontera Bolivia-Brasil), ene-2009","Ceremonia fronteriza puntual documentada en notas de origen; coincide con visita a Venezuela el mismo mes (15-16 ene 2009, item de discrepancias), sugiriendo gira regional."
1780-BRA-CHL-39197,Confirmado,"{""CityVisited"": ""Santiago""}","Gira sudamericana abr-2007 (Chile-Argentina-Paraguay, ver items cercanos del lote)",Se enmarca en una gira regional de abril de 2007 que incluye Paraguay (20-21 abr) y Chile-Argentina (25-27 abr) según items del mismo lote; secuencia geográficamente coherente.
1780-BRA-CHL-39493,Confirmado,"{""CityVisited"": ""Estación Antártica Comandante Ferraz / Santiago""}","Visita histórica de Lula a la Estación Antártica brasileña Comandante Ferraz, feb-2008, ampliamente cubierta por prensa","Hecho histórico bien documentado: primera visita de un presidente brasileño en ejercicio a la Antártida, feb-2008, con escala en Chile."
1780-BRA-CHL-39899,Confirmado,"{""CityVisited"": ""Santiago""}","Patrón de relación bilateral Lula-Bachelet, mar-2009","Visita bilateral de rutina a Chile, sin elementos que generen dudas sobre su ocurrencia."
1780-BRA-CRI-39967,Confirmado,"{""CityVisited"": ""San José""}","Gira centroamericana jun-2009 (Guatemala 2-3 jun, Costa Rica 3 jun, ver item cercano del lote)","Parte de una gira centroamericana coherente con la visita a Guatemala del mismo lote (2-3 jun 2009), secuencia geográfica y temporal consistente."
1780-BRA-CUB-39751,Confirmado,"{""CityVisited"": ""La Habana""}","Relación bilateral Brasil-Cuba bajo Lula, oct-2008","Visita bilateral documentada, consistente con la política de acercamiento de Lula a Cuba durante su mandato."
1780-BRA-CUB-40232,Confirmado,"{""CityVisited"": ""La Habana""}","Notas del registro COLT: encuentro con Fidel Castro, feb-2010; gira centroamericana (ver El Salvador 25-26 feb, item cercano)","Encaja con gira centroamericana/caribeña de feb-2010 (Cuba 23-25, El Salvador 25-26, ambos en el mismo lote), secuencia geográfica coherente."
1780-BRA-SLV-39596,Confirmado,"{""CityVisited"": ""San Salvador""}","Cumbre/gira centroamericana may-2008 (ver Haití 28-may, mismo lote)","Coincide en fecha con visita a Haití del mismo lote (28-may-2008), sugiriendo tramo de una gira más amplia por Centroamérica/Caribe."
1780-BRA-SLV-40234,Confirmado,"{""CityVisited"": ""San Salvador""}","Notas del registro COLT: visita a la cripta de Óscar Romero, feb-2010","Detalle verificable (cripta de Monseñor Romero, San Salvador) consistente con gira centroamericana de feb-2010 junto con Cuba (mismo lote)."
