Journey_ID,Trip_ID,President,Origin_Country,Trip_Status,Start_Date,End_Date,Duration_Days,Destination_Country,Destination_Region,Destination_City,Visit_Category,Visit_Subtype,Sideline_Bilaterals,Counterpart_Event,Counterpart_Type,Trip_Objective,Source_Verification,Source_Reliability,Methodological_Notes,Tema_Foro,Verificacion_Status,MetHostHOGS,MetNonHostHOGS,NonHostHOGS_Name,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeader_Name,PELATAM_TripID_insertado,Source_usado_en_COLT
CHL-MB1-J049,53,Michelle Bachelet,Chile,Completed,2009-09-23,2009-09-24,2,United States,North America,New York,Multilateral,Global Forum,NA,64ª AGNU,NA,Asamblea General de la ONU.,https://gadebate.un.org/en/64/chile,High,Fecha estimada.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-53,https://gadebate.un.org/en/64/chile
CHL-SP1-J059,67,Sebastián Piñera,Chile,Completed,2010-12-03,2010-12-04,2,Argentina,South America,Mar del Plata,Multilateral,Regional Summit,TRUE,XX Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Mar del Plata; homenaje a Nestor Kirchner (fallecido en oct).,https://segib.org/es/inaugurada-la-xx-cumbre-iberoamericana-de-mar-del-plata/,High,3-4/12/2010.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-67,https://segib.org/es/inaugurada-la-xx-cumbre-iberoamericana-de-mar-del-plata/
CHL-SP1-J061,69,Sebastián Piñera,Chile,Completed,2011-04-28,2011-04-28,1,Peru,South America,Lima,Multilateral,Regional Summit,TRUE,Cumbre fundacional de la Alianza del Pacífico,NA,"Creacion de la Alianza del Pacifico (Chile, Peru, Colombia, Mexico). HITO de su politica exterior.",https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf,High,28/04/2011.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-69,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf
CHL-SP1-J063,71,Sebastián Piñera,Chile,Completed,2011-09-21,2011-09-22,2,United States,North America,New York,Multilateral,Global Forum,NA,66ª AGNU,NA,Asamblea General de la ONU.,https://www.chile.gob.cl/chile/blog/onu/nueva-york/presidente-pinera-interviene-en-asamblea-general-de-la-onu,High,"QA-R3 2026-07-22: URL reemplazada. La fuente previa (ask.un.org/faq, pagina generica 'Where can I find information about Chile and the UN?') no respaldaba el hecho especifico (discrepancia grave de sourcing, aunque la fecha resulto correcta). Fuente de reemplazo (chile.gob.cl, cronica oficial) confirma que Piñera discurso ante el debate general de la 66a AGNU el jueves 22-09-2011, coincidiendo con el End_Date ya cargado. Fecha deja de ser estimada.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-71,https://www.chile.gob.cl/chile/blog/onu/nueva-york/presidente-pinera-interviene-en-asamblea-general-de-la-onu
CHL-SP1-J064,72,Sebastián Piñera,Chile,Completed,2011-10-28,2011-10-29,2,Paraguay,South America,Asunción,Multilateral,Regional Summit,TRUE,XXI Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Asuncion; transformacion del Estado.,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-interviene-en-cumbre-iberoamericana-de-paraguay,High,28-29/10/2011.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-72,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-interviene-en-cumbre-iberoamericana-de-paraguay
CHL-SP1-J067,75,Sebastián Piñera,Chile,Completed,2012-04-14,2012-04-15,2,Colombia,South America,Cartagena,Multilateral,Regional Summit,TRUE,VI Cumbre de las Américas,NA,VI Cumbre de las Americas de Cartagena.,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2012.pdf,High,14-15/04/2012.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-75,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2012.pdf
CHL-SP1-J074,82,Sebastián Piñera,Chile,Completed,2013-08-15,2013-08-15,1,Paraguay,South America,Asunción,Bilateral,Inauguration/Funeral,NA,Asunción de Horacio Cartes,Jefe de Estado/Gobierno,Asuncion de Horacio Cartes en Paraguay.,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-en-paraguay-tenemos-la-firme-voluntad-e-intencion-de,High,15/08/2013. Confirmar asistencia.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-82,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-en-paraguay-tenemos-la-firme-voluntad-e-intencion-de
CHL-SP1-J076,84,Sebastián Piñera,Chile,Completed,2014-02-10,2014-02-10,1,Colombia,South America,Cartagena,Multilateral,Regional Summit,TRUE,VIII Cumbre de la Alianza del Pacífico,NA,Cumbre de la Alianza del Pacifico en Cartagena; ULTIMO viaje del mandato.,https://www.cancilleria.gov.co/newsroom/news/presidente-chile-sebastian-pinera-primer-mandatario-llegar-cartagena-asistir-viii,High,10/02/2014. Ultimo viaje del mandato. Fuente (Cancilleria de Colombia) confirma que Piñera fue el primer mandatario en llegar a Cartagena para la VIII Cumbre.,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-84,https://es.wikipedia.org/wiki/VIII_Cumbre_de_la_Alianza_del_Pac%C3%ADfico
CHL-MB2-J078,86,Michelle Bachelet,Chile,Completed,2014-06-19,2014-06-20,2,Mexico,North America,Punta Mita,Multilateral,Regional Summit,TRUE,IX Cumbre de la Alianza del Pacífico,NA,Cumbre de la Alianza del Pacifico en Punta Mita.,https://www.gob.mx/se/prensa/se-realizara-la-ix-cumbre-de-la-alianza-del-pacifico-nayarit,Medium,"19-20/06/2014. Confirmada IX Cumbre de la Alianza del Pacifico, Punta Mita, 19-20/06/2014.",Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-86,https://elsoldenayarit.mx/politica/27796-inaugura-pena-ix-cumbre-de-la-alianza-del-pacifico
CHL-MB2-J080,88,Michelle Bachelet,Chile,Completed,2014-12-08,2014-12-09,2,Mexico,North America,Veracruz,Multilateral,Regional Summit,TRUE,XXIV Cumbre Iberoamericana,NA,Cumbre Iberoamericana de Veracruz.,https://es.wikipedia.org/wiki/XXIV_Cumbre_Iberoamericana,Medium,"8-9/12/2014. Confirmada XXIV Cumbre Iberoamericana, Veracruz, 08-09/12/2014, con presencia de Bachelet.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-88,https://es.wikipedia.org/wiki/XXIV_Cumbre_Iberoamericana
CHL-MB2-J081,89,Michelle Bachelet,Chile,Completed,2015-03-01,2015-03-01,1,Uruguay,South America,Montevideo,Bilateral,Inauguration/Funeral,NA,Asunción de Tabaré Vázquez,Jefe de Estado/Gobierno,Asuncion de Tabare Vazquez en Uruguay.,https://www.lr21.com.uy/politica/1219289-tabare-vazquez-asuncion-presidente-uruguay-2015-2020,Medium,1/03/2015. Confirmada asuncion de Tabare Vazquez el 01/03/2015 con presencia de Bachelet.,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-89,https://www.lr21.com.uy/politica/1219289-tabare-vazquez-asuncion-presidente-uruguay-2015-2020
CHL-MB2-J085,94,Michelle Bachelet,Chile,Completed,2015-07-02,2015-07-03,2,Peru,South America,Paracas,Multilateral,Regional Summit,TRUE,X Cumbre de la Alianza del Pacífico,NA,Cumbre de la Alianza del Pacifico en Paracas.,https://elcomercio.pe/politica/gobierno/presidentes-alianza-pacifico-llegan-hoy-paracas-171066-noticia/,Medium,"2-3/07/2015. Confirmada X Cumbre de la Alianza del Pacifico, Paracas, con presencia de Bachelet; declaracion firmada 03/07/2015.",Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-94,https://elcomercio.pe/politica/gobierno/presidentes-alianza-pacifico-llegan-hoy-paracas-171066-noticia/
CHL-MB2-J088,97,Michelle Bachelet,Chile,Completed,2015-11-30,2015-12-01,2,France,Europe,Paris,Multilateral,Global Forum,TRUE,COP21 (Conferencia del Clima),NA,Segmento de lideres de la COP21 que adopto el Acuerdo de Paris.,https://cooperativa.cl/noticias/sociedad/medioambiente/clima/bachelet-entrego-su-solidaridad-a-francia-en-inicio-de-cumbre-del-clima/2015-11-30/105436.html,Medium,"30/11-1/12/2015. Confirmada participacion de Bachelet en segmento de lideres de la COP21, Paris, 30/11/2015.",Medio Ambiente/Clima,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-97,https://cooperativa.cl/noticias/sociedad/medioambiente/clima/bachelet-entrego-su-solidaridad-a-francia-en-inicio-de-cumbre-del-clima/2015-11-30/105436.html
CHL-MB2-J089,98,Michelle Bachelet,Chile,Completed,2016-01-27,2016-01-27,1,Ecuador,South America,Quito,Multilateral,Regional Summit,NA,IV Cumbre CELAC,NA,Cumbre CELAC en Quito.,https://es.wikipedia.org/wiki/IV_Cumbre_de_la_CELAC_de_2016,Medium,"27/01/2016. Confirmar asistencia. Confirmada IV Cumbre CELAC, Quito, 26-27/01/2016, con presencia de Bachelet.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-98,http://archivospresidenciales.archivonacional.cl/index.php/intervencion-de-michelle-bachelet-en-plenario-de-la-iv-cumbre-celac
CHL-GB-J126,152,Gabriel Boric,Chile,Completed,2023-01-01,2023-01-02,2,Brazil,South America,Brasília,Multilateral,Inauguration/Funeral,NA,Asunción de Luiz Inácio Lula da Silva,NA,Investidura de Lula.,https://www.biobiochile.cl/noticias/nacional/chile/2023/01/01/presidente-boric-ya-esta-en-brasil-para-investidura-de-lula-da-silva-viajo-junto-a-ricardo-lagos-e.shtml,Medium,"NOTA 2026-07-21: BioBioChile (01/01/2023) confirma llegada a Brasilia la manana del domingo 1/01/2023 (investidura, saludo a jefes de Estado, recepcion) y reunion bilateral Chile-Brasil prevista 'para manana' (2/01), con regreso a Chile 'durante la tarde del lunes [2/01] a eso de las 16:30'. Corregido End_Date/Duration de 1 a 2 dias (01-02/01/2023) en base a esta fuente.",Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-152,https://www.biobiochile.cl/noticias/nacional/chile/2023/01/01/presidente-boric-ya-esta-en-brasil-para-investidura-de-lula-da-silva-viajo-junto-a-ricardo-lagos-e.shtml
CHL-GB-J130,158,Gabriel Boric,Chile,Completed,2023-07-19,2023-07-20,2,Switzerland,Europe,Ginebra,Multilateral,Working Visit,NA,CERN / OMS (Tedros Adhanom),NA,Visita al CERN (Chile miembro asociado) y encuentro con el director general de la OMS.,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html,High,"Fechas estimadas dentro de la gira. Visita a organismos, no bilateral pais-pais: Other. CERN/OMS: organismos internacionales -> Multilateral por definicion del CODEBOOK; tema ciencia/salud mixto, primario CERN -> Otro (doctrina 2026-07-07).",Otro,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-158,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html
CHL-GB-J130,159,Gabriel Boric,Chile,Completed,2023-07-21,2023-07-21,1,France,Europe,París,Bilateral,Working Visit,NA,Emmanuel Macron,Jefe de Estado/Gobierno,Cierre de la gira europea; bilateral con Macron.,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html,High,NA,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-159,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html
CHL-GB-J144,177,Gabriel Boric,Chile,Completed,2025-02-28,2025-03-01,2,Uruguay,South America,Montevideo,Multilateral,Inauguration/Funeral,TRUE,Asunción de Yamandú Orsi,NA,Investidura de Orsi; bilaterales con Arce y Penia; cena de lideres progresistas.,https://www.df.cl/economia-y-politica/gobierno/boric-viaja-a-uruguay-a-transmision-del-mando-en-que-asumira-el-presidente,High,Segundo viaje a Uruguay en un mes.,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-177,https://www.df.cl/economia-y-politica/gobierno/boric-viaja-a-uruguay-a-transmision-del-mando-en-que-asumira-el-presidente
CHL-JAK-J152,186,José Antonio Kast,Chile,Completed,2026-04-05,2026-04-06,2,Argentina,South America,Buenos Aires,Bilateral,Working Visit,NA,Javier Milei,Jefe de Estado/Gobierno,"Primer viaje internacional; comercio, energia, seguridad, mineria e integracion fronteriza; apoyo a soberania argentina sobre Malvinas.",https://www.gob.cl/noticias/presidente-jose-antonio-kast-realiza-primer-viaje-internacional-reunion-trabajo-presidente-argentina-javier-milei/,High,Llego la noche del 5/4; actividades el 6/4. Duracion recalculada (extremos incluidos).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-186,https://www.gob.cl/noticias/presidente-jose-antonio-kast-realiza-primer-viaje-internacional-reunion-trabajo-presidente-argentina-javier-milei/
CHL-JAK-J153,187,José Antonio Kast,Chile,Completed,2026-06-29,2026-06-30,2,Paraguay,South America,Asunción,Multilateral,Regional Summit,TRUE,LXVIII Cumbre del MERCOSUR,NA,"Debut en cumbre regional; lucha coordinada contra el crimen organizado y comercio seguro; bilaterales con Penia, Lula y el canciller aleman Wadephul.",https://prensa.presidencia.cl/fotonoticia.aspx?id=333191,High,Gira Paraguay-Uruguay (J153). Duracion recalculada (extremos incluidos).,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-187,https://prensa.presidencia.cl/fotonoticia.aspx?id=333191
CHL-JAK-J153,188,José Antonio Kast,Chile,Completed,2026-07-01,2026-07-01,1,Uruguay,South America,Montevideo,Bilateral,Working Visit,NA,Yamandú Orsi,Jefe de Estado/Gobierno,Visita oficial; firma de dos acuerdos (firma digital; MOU Instituto Artigas-Academia Andres Bello); invitacion al Compromiso de Santiago.,https://prensa.presidencia.cl/fotonoticia.aspx?id=333293,High,Segunda etapa de J153; confirmar pernocte entre Paraguay y Uruguay (pendientes).,NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-188,https://prensa.presidencia.cl/fotonoticia.aspx?id=333573
CHL-GB-J152,191,Gabriel Boric,Chile,Completed,2024-07-24,2024-07-28,5,France,Europe,París,Multilateral,Global Forum,NA,Juegos Olímpicos París 2024 (ceremonia inaugural) / Cumbre por el Deporte y el Desarrollo Sostenible (convocada por Macron),NA,Ceremonia inaugural JJOO Paris 2024 (invitacion COCh); participacion en Cumbre por el Deporte y Desarrollo Sostenible de Macron con 60+ jefes de Estado; recepcion a deportistas chilenos.,https://www.latercera.com/politica/noticia/boric-visitara-francia-para-participar-de-ceremonia-inaugural-y-actividades-oficiales-de-los-juegos-olimpicos-2024/2JB5ZOILERBUZOBSYT56OK6ADU/,Medium,"NOTA 2026-07-21: gira Francia-EAU jul-2024 (pendiente en PENDIENTES_VERIFICACION) CONFIRMADA. Clasificada Multilateral/Global Forum por la Cumbre por el Deporte y el Desarrollo Sostenible (Carrousel du Louvre, 25/7/2024, convocada por Macron y el COI; +60 jefes de Estado/Gobierno adhirieron al Acuerdo de Paris para el Deporte); la ceremonia inaugural JJOO en si misma (invitacion del Comite Olimpico de Chile, sin caracter intergubernamental) habria sido 'Other' de no mediar esa cumbre -- clasificacion combinada, ver metodologia CODEBOOK 5.6/5.7 para eventos mixtos. Fechas de estancia (24-28/7) segun La Tercera 10/7/2024, cruzado con BioBioChile y EMOL.",Otro,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-191,https://www.latercera.com/politica/noticia/boric-visitara-francia-para-participar-de-ceremonia-inaugural-y-actividades-oficiales-de-los-juegos-olimpicos-2024/2JB5ZOILERBUZOBSYT56OK6ADU/
CHL-RL-J037,206,Ricardo Lagos,Chile,Completed,2000-12-14,2000-12-15,2,Brazil,South America,Florianópolis,Multilateral,Regional Summit,NA,"XIX Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",NA,Participación en la XIX Cumbre de Jefes de Estado del MERCOSUR.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2000,High,NA,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-206,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2000
CHL-RL-J045,215,Ricardo Lagos,Chile,Completed,2001-12-20,2001-12-21,2,Uruguay,South America,Montevideo,Multilateral,Regional Summit,NA,"XX Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",NA,Participación en la XX Cumbre de Jefes de Estado del MERCOSUR en Montevideo.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High,NA,Comercio/Integración Económica,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-215,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001
CHL-RL-J048,220,Ricardo Lagos,Chile,Completed,2002-04-11,2002-04-12,2,Costa Rica,Central America,San José,Multilateral,Regional Summit,NA,Cumbre del Grupo de Río,NA,Participación en la Cumbre del Grupo de Río en San José.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002,High,NA,Cooperación Política General,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-220,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002
CHL-RL-J014,229,Ricardo Lagos,Chile,Completed,2002-11-14,2002-11-14,1,Honduras,Central America,Tegucigalpa,Bilateral,State Visit,NA,Ricardo Maduro,Jefe de Estado/Gobierno,"Visita oficial a Honduras, previa a la XII Cumbre Iberoamericana en República Dominicana.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002,High,"QA-R6 2026-07-26: Journey_ID corregido de CHL-RL-J054 a CHL-RL-J014. Este tramo (Honduras, 14/11/2002) es parte de la misma salida fisica que Trip_ID 16 (Republica Dominicana, XII Cumbre Iberoamericana, 15-16/11/2002): el propio Trip_Objective de esta fila indica 'previa a la XII Cumbre Iberoamericana en Republica Dominicana', y el listado oficial de giras 2002 (ARLE-UDP) confirma Honduras 14/11 seguido de Republica Dominicana 15-16/11 como una sola gira. Journey_ID unificado con Trip_ID 16.",NA,Verificada-URL,NA,NA,NA,NA,NA,NA,NA,NA,NA,PELATAM-CHL-229,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002
