colt_TripID,veredicto,valor_original_o_notas_previas,campos_completados_o_accion,fuente,justificacion,fecha_aplicado,estado
1473-ARG-BRA-37104,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,No se halló cobertura de prensa abierta sobre una visita de de la Rúa a Brasil el 1 de agosto de 2001. Colt_links bloqueados por acceso institucional.,2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-BRA-37172,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,No se halló cobertura de prensa abierta sobre una visita de de la Rúa a Brasil el 8-9 de octubre de 2001. Colt_links bloqueados por acceso institucional.,2026-08-17,DUDOSO_SIN_CAMBIO
1473-ARG-PRT-37210,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,"No se halló cobertura de prensa abierta sobre una visita de de la Rúa a Portugal el 15-17 de noviembre de 2001. Es cronológicamente plausible como escala previa a la Cumbre Iberoamericana de Lima (23-24 nov 2001, confirmada en otro ítem), pero no se encontró confirmación independiente.",2026-08-17,DUDOSO_SIN_CAMBIO
1689-ARG-MAR-37712,Descartado,"[VERIFICACION PE-LATAM 2026-08-15: este viaje fue CANCELADO por la guerra de Irak (confirmado por La Nacion); no ocurrio como indica COLT. Fila senalada, no se elimino.]","(Notes flageado, fila no eliminada)","Verificación previa de PE-Latam (15-ago-2026), confirmada por La Nación.","Se mantiene la conclusión de la verificación anterior (una de las 7 correcciones que sobrevivieron al incidente del 15-ago-2026): este viaje de Duhalde a Marruecos fue CANCELADO por el estallido de la guerra de Irak y no llegó a ocurrir, según confirmó La Nación en su momento. Fila señalada como no correspondiente a un viaje real, no se elimina del registro por trazabilidad.",2026-08-17,DESCARTADO_FLAGEADO
1689-ARG-URY-37755,Dudoso_no_verificable,,(sin cambio),Sin fuente independiente encontrada.,"No se halló cobertura de prensa abierta sobre una visita de Duhalde a Uruguay el 14-15 de mayo de 2003 (mes previo al traspaso de mando a Kirchner, 25 de mayo de 2003). Es cronológicamente plausible (posible despedida a Batlle) pero no se pudo confirmar con fuentes abiertas; colt_links bloqueados por acceso institucional.",2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-VEN-37807,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo evidencia de una visita de Kirchner a Venezuela en julio de 2003; las fuentes revisadas ubican el primer viaje documentado de Kirchner a Venezuela en 2004.,2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-BEL-37817,Confirmado,,CityVisited=Bruselas,Ambito.com / prensa (gira europea),"Se confirma que Kirchner realizo una gira europea entre el 10 y 18 de julio de 2003 que incluyo Reino Unido, Belgica, Francia y España, tras la Cumbre de Gobiernos Progresistas en Surrey.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
1826-ARG-FRA-37817,Confirmado,,CityVisited=Paris,Ambito.com / prensa (gira europea),Misma gira europea de julio 2003 (Reino Unido-Belgica-Francia-España) confirmada por prensa.,2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
1826-ARG-ESP-37818,Confirmado,,CityVisited=Madrid,Ambito.com / prensa (gira europea),"Ultimo tramo de la gira europea de julio 2003, con intercambios con inversores españoles vinculados a empresas de servicios publicos.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
1826-ARG-URY-37969,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo cobertura especifica que confirme un viaje de Kirchner a Uruguay el 14-17 de diciembre de 2003.,2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-CHL-38058,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,"Se confirma tension y encuentros Kirchner-Lagos por el tema del gas en ese periodo, pero no se hallo confirmacion de una visita presencial a Chile el 12-13 de marzo de 2004 con fecha precisa.",2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-URY-38444,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo cobertura que confirme un viaje de Kirchner a Uruguay el 2 de abril de 2005 (esa fecha coincide con la muerte del Papa Juan Pablo II).,2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-CHL-38513,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,"No se hallo cobertura especifica que confirme un viaje de Kirchner a Chile el 10-11 de junio de 2005 (se hallo mencion a un compromiso sobre gas del 15 de marzo de 2005, fecha distinta).",2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-BRA-38624,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo cobertura especifica que confirme un viaje de Kirchner a Brasil el 29-30 de septiembre de 2005.,2026-08-17,DUDOSO_SIN_CAMBIO
1826-ARG-URY-38812,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo cobertura especifica que confirme un viaje de Kirchner a Uruguay el 5 de abril de 2006.,2026-08-17,DUDOSO_SIN_CAMBIO
2320-ARG-ECU-39558,Confirmado,,CityVisited=Quito,Pagina/12 'Cristina cambia de aire y viaja a Ecuador' (20-abr-2008),"Confirmado viaje de CFK a Quito el 20/4/2008, invitada por Rafael Correa; participo del ELAP, fue condecorada por la Asamblea Nacional y firmo declaracion conjunta con Correa.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2320-ARG-VEN-39923,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,"No se hallo evidencia de un viaje de CFK a Venezuela el 20 de abril de 2009; existe un viaje bien documentado a Venezuela el 18-20 de abril de 2010 (bicentenario), por lo que es posible que se trate de un error de año en COLT.",2026-08-17,DUDOSO_SIN_CAMBIO
2320-ARG-BRA-40133,Dudoso_no_verificable,,(sin cambio),Busqueda en prensa,No se hallo cobertura especifica que confirme un viaje de CFK a Brasil el 16-17 de noviembre de 2009.,2026-08-17,DUDOSO_SIN_CAMBIO
2320-ARG-CAN-40355,Confirmado,,CityVisited=Toronto,Cumbre G20 Toronto,"El viaje coincide exactamente con la Cumbre del G20 en Toronto (26-27 junio 2010), que ya figura en nuestra base bajo el TripID 2320-ARG-CAN-40354. Es muy probable que se trate de un registro duplicado dentro de COLT para el mismo viaje, no de un viaje adicional no registrado.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
3169-ARG-USA-43000,Descartado,"[VERIFICACION PE-LATAM 2026-08-15: Macri NO asistio a la AGNU 2017; en su lugar asistio la vicepresidenta Gabriela Michetti (confirmado por El Cronista, Politica Argentina). Fila senalada como posible viaje fantasma, no se elimino.]","(Notes flageado, fila no eliminada)","El Cronista (9/8/2017), Telam (agosto 2017), Politica Argentina, Perfil","Confirmado de forma independiente: Macri decidio NO viajar a la 72a Asamblea General de la ONU en septiembre de 2017 (razon oficial: recuperacion de cirugia de rodilla derecha, en medio de campana electoral); en su lugar encabezo la delegacion la vicepresidenta Gabriela Michetti junto al canciller Faurie. Fue la primera vez que un vicepresidente represento a la Argentina ante la ONU, rompiendo la asistencia perfecta del pais desde 2002. Coincide con la verificacion previa de PE-Latam (nota en el propio workpack). Viaje fantasma confirmado; no corresponde agregarlo a la base.",2026-08-17,DESCARTADO_FLAGEADO
3670-ARG-BOL-44144,Dudoso_no_verificable,,(sin cambio),"Infobae, Perfil, El Cronista, teleSUR (8-9/11/2020)","Confirmado que Alberto Fernandez viajo a La Quiaca (Jujuy, Argentina) y encabezo un acto de despedida a Evo Morales en el puente internacional Horacio Guzman, en la frontera con Villazon (Bolivia), el 9/11/2020. Sin embargo, no se pudo confirmar de forma independiente que Fernandez haya cruzado y pisado suelo boliviano (Villazon) -las fuentes describen el acto en el puente fronterizo sin precisar si el mandatario paso al lado boliviano-, por lo que no es posible verificar con certeza si corresponde a una 'visita a Bolivia' en sentido estricto de la metodologia COLT/PE-Latam.",2026-08-17,DUDOSO_SIN_CAMBIO
3670-ARG-VAT-44329,Confirmado,,CityVisited=Ciudad del Vaticano,"France24 (""gira europea, respaldo renegociacion deuda FMI""), Vatican News","Confirmado: como parte de la gira europea de mayo 2021, el 13/5/2021 (jueves) Alberto Fernandez visito al Papa Francisco en audiencia privada en el Palacio Apostolico del Vaticano, en el mismo dia en que tambien almorzo con el presidente italiano Mattarella y se reunio con el premier Draghi. Corresponde a la misma jornada que la entrada 'Italia' del 13/5/2021 ya presente en nuestra base (nuestro_Trip_ID 369), por lo que podria tratarse de una etapa adicional (Vaticano) del mismo viaje que conviene agregar o vincular explicitamente.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
3670-ARG-ITA-44499,Confirmado,,CityVisited=Roma,"Infobae (30/10/2021), Telam, LA NACION (Cumbre del G20 en Roma)","Confirmado: Alberto Fernandez participo de la Cumbre de Lideres del G20 en Roma los dias 30 y 31 de octubre de 2021 (agenda oficial comenzando el sabado 30 a las 5hs hora argentina en el Centro La Nuvola), con bilaterales con Merkel, Charles Michel, Pedro Sanchez y Ursula von der Leyen. Nota sobre fechas: la evidencia indica que el G20 concluyo el 31/10 (no el 1/11 como propone COLT); el 1/11 Fernandez ya habia iniciado el tramo de Glasgow/COP26 en Escocia (ver item GBR-44501). Se recomienda TripEndDate=2021-10-31 en lugar de 2021-11-01 al incorporar este viaje.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
3670-ARG-ARG-44979,Confirmado,,"CityVisited=Base Marambio, Antartida","Buenos Aires Times, Casa Rosada, Twitter/X @CasaRosada (22/2/2023)","Confirmado: Alberto Fernandez visito la Base Marambio en la Antartida Argentina el 22/2/2023, coincidiendo con el Dia de la Soberania Antartica, donde dio un discurso e inauguro laboratorios. Nota: por tratarse de territorio bajo reclamo de soberania argentina (no un pais extranjero), se recomienda que el equipo de PE-Latam evalue si corresponde incluirlo en la base de 'viajes presidenciales al exterior' segun el criterio metodologico del proyecto, dado que COLT si lo registra pero como 'Argentina' (no como viaje internacional a otro pais).",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
4053-ARG-ARG-45297,Confirmado,,CityVisited=Antartida Argentina,"Casa Rosada (comunicado oficial, fuente citada en el propio workpack)","Confirmado por fuente oficial (Casa Rosada): Javier Milei encabezo el 6-7/1/2024 el lanzamiento del Programa de Implementacion de Tecnologia Nuclear para el Control de la Contaminacion Plastica en la Antartida. Misma observacion que el item anterior (Antartida/Alberto Fernandez): al ser territorio de reclamo de soberania argentina, se recomienda que el equipo evalue si corresponde incluirlo como 'viaje presidencial al exterior' segun el criterio metodologico del proyecto.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
