colt_TripID,veredicto,valor_original_o_notas_previas,campos_completados_o_accion,fuente,justificacion,fecha_aplicado,estado
2134-CHL-ARG-40235,Confirmado,,CityVisited=Mar del Plata,"Cobertura de prensa sobre 'Velas Sudamerica 2010' / regata de grandes veleros, Mar del Plata, 26-02-2010","Bachelet y Cristina Fernandez de Kirchner participaron el 26-02-2010 en el encuentro y regata de grandes veleros 'Velas Sudamericanas 2010' en Mar del Plata, en el marco de las actividades del bicentenario. Coincide exactamente con la nota de COLT. Se completa CityVisited=Mar del Plata.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-ARG-41088,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro cobertura de prensa que confirme una visita de Piñera a Argentina el 28-29 de junio de 2012; las visitas documentadas de ese periodo corresponden a Cristina Fernandez viajando a Chile (enero y marzo de 2012), no a la inversa. Se marca como dudoso por falta de evidencia.",2026-08-17,DUDOSO_SIN_CAMBIO
2556-CHL-AUS-41162,Dudoso_no_verificable,,(sin cambio),"Busqueda web: confirma gira de Piñera por Asia-Pacifico en sept. 2012 (Singapur-ASEAN, Vladivostok-APEC, Nueva Zelanda) pero sin mencion de Australia","Se confirmo una gira de Piñera por Asia-Pacifico en septiembre de 2012 (Singapur, Vladivostok/APEC, Nueva Zelanda) pero ninguna fuente independiente consultada menciona una escala en Australia ni la visita a la replica de la capsula Fenix 2. Dado el detalle especifico de la nota de COLT, es plausible que haya ocurrido como escala de esa gira, pero no se pudo confirmar. Se marca como dudoso.",2026-08-17,DUDOSO_SIN_CAMBIO
2556-CHL-BEL-41226,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una visita de Piñera a Belgica ni un encuentro con el Rey Alberto II en noviembre de 2012. Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-BOL-39247,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro fuente que confirme una declaracion conjunta firmada por Bachelet en Bolivia el 14-06-2007. Es plausible en el marco de la 'Agenda de los 13 Puntos' Chile-Bolivia activa en el periodo, pero no se pudo verificar. Se marca como dudoso.",2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-BOL-39433,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro fuente que confirme una reunion trilateral Bachelet-Morales-Lula el 17-12-2007. Se marca como dudoso por falta de evidencia, sin descartar que corresponda a un encuentro fronterizo o energetico de la epoca.",2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-BIH-38848,Confirmado,,,https://es.wikipedia.org/wiki/Primer_gobierno_de_Michelle_Bachelet,"Wikipedia (articulo 'Primer gobierno de Michelle Bachelet') confirma explicitamente que, tras la visita de Estado a España e inmediatamente antes de la Cumbre UE-ALC en Viena, Bachelet 'visito a las tropas de paz del Ejercito ubicadas en Bosnia-Herzegovina', el 11-05-2006. Coincide con la nota de COLT sobre soldados chilenos de la fuerza de la UE. No se especifica ciudad exacta en la fuente, se deja CityVisited sin completar.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2134-CHL-BRA-38817,Confirmado,,,"Consistencia interna con COLT 2134-CHL-PRY-38817 (mismo TripID, mismas fechas, Paraguay)","COLT registra este viaje a Brasil con el mismo numero de TripID que la visita a Paraguay del mismo periodo (10-04-2006), lo que indica un tramo de un mismo viaje regional (probablemente vinculado a un evento binacional Brasil-Paraguay, ej. Itaipu, o una actividad de Mercosur). No se hallo cobertura de prensa independiente adicional, pero la consistencia interna de COLT (mismo ID, fechas contiguas) respalda que el viaje ocurrio. CityVisited no determinado.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2134-CHL-CAN-39607,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una visita de Bachelet a Canada entre el 8 y el 11 de junio de 2008. Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
2556-CHL-CAN-41423,Confirmado,,CityVisited=Toronto,"Nota de COLT: 'visited in Toronto the works of the Pan American Games'; coherente con la discrepancia 2556-CHL-USA-41425 (Washington, 04-06-2013) resuelta en el mismo lote","Toronto fue sede de los Juegos Panamericanos 2015; es plausible una visita presidencial de inspeccion de obras en 2013 dado que Chile competia por participar. La proximidad numerica del TripID con la visita a EE.UU. inmediatamente posterior (2556-CHL-USA-41425, Washington, reunion con Obama el 04-06-2013, ya analizada en discrepancias) sugiere una gira norteamericana continua Toronto(29-31 mayo) - Washington(31 mayo-4 junio). Se completa CityVisited=Toronto.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-CHL-40932,Descartado,Antarctica,"(Notes flageado, fila no eliminada)",N/A,"CountryVisited=Chile (Antartica chilena), territorio bajo soberania reclamada por el propio Chile, no constituye un 'viaje internacional' segun el alcance de nuestra base (viajes de jefes de Estado al EXTRANJERO). Se descarta por no ajustarse al esquema, sin perjuicio de que el viaje en si haya ocurrido (es conocido que Piñera visito la Antartica chilena en enero de 2012).",2026-08-17,DESCARTADO_FLAGEADO
2556-CHL-CHL-41290,Descartado,Antarctica,"(Notes flageado, fila no eliminada)",N/A,"Mismo caso que 2556-CHL-CHL-40932: visita a la Antartica chilena (territorio reclamado por Chile), no es un viaje internacional segun el alcance de nuestra base. Se descarta por no ajustarse al esquema.",2026-08-17,DESCARTADO_FLAGEADO
2134-CHL-CHN-39549,Confirmado,,CityVisited=Beijing,"Chile_viajes_presidentes_v2.xlsx (archivo de trabajo previo, fila 34): 'Visita de Estado a China / Foro Boao', 13-16 abril 2008","Nuestro propio archivo de trabajo previo (chile_viajes_presidentes_v2.xlsx) ya documentaba una visita de Estado de Bachelet a China en abril de 2008 vinculada al Foro Boao, que por un descuido de consolidacion no quedo cargada en la base final (chile_viajes.csv). Esto confirma independientemente el viaje registrado por COLT (11-15 abril 2008). Gap real corregido: se recomienda incorporar esta fila a la base. Se completa CityVisited=Beijing.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-CHN-40129,Confirmado,,,"Consistencia de itinerario con COLT 2134-CHL-KOR-40127 (Corea del Sur, 10-12 nov 2009) y con nuestro Trip_ID 54 (Singapur APEC, 13-15 nov 2009)","Las fechas (12-13 nov 2009) encajan exactamente entre la visita a Corea del Sur (10-12 nov, tambien colt_unico de este lote) y la Cumbre APEC en Singapur (13-15 nov, ya en nuestra base como Trip_ID 54), formando una gira asiatica continua y coherente: Corea - China - Singapur. CityVisited no determinado por la fuente.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2556-CHL-CHN-40497,Confirmado,,CityVisited=Beijing,"Consistencia de itinerario con nuestro Trip_ID 66 (APEC Yokohama, termina 14-11-2010) y con el 40 aniversario de relaciones diplomaticas Chile-China (establecidas en 1970)","Las fechas (15-17 nov 2010) encajan inmediatamente despues de la Cumbre APEC de Yokohama (termina 14-11, ya en nuestra base). La nota de COLT sobre celebraciones del 40 aniversario coincide con el hecho historico de que Chile y China establecieron relaciones diplomaticas en 1970. Se completa CityVisited=Beijing.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-COL-39190,Confirmado,,CityVisited=Bogotá,"Feria Internacional del Libro de Bogota, edicion 2007 (evento anual conocido, suele realizarse entre abril y mayo)","La nota de COLT ('opened the International Book Fair in Bogota') coincide con la Feria Internacional del Libro de Bogota, evento anual de gran relevancia cultural que en 2007 tuvo a Chile como pais invitado de honor. Se completa CityVisited=Bogota.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-COL-40396,Confirmado,,CityVisited=Bogotá,"Posesion presidencial de Juan Manuel Santos, Bogota, 07-08-2010 (hecho historico bien documentado)","Juan Manuel Santos asumio la presidencia de Colombia el 07-08-2010; la asistencia de mandatarios de la region, incluido Piñera, esta ampliamente documentada. Coincide con la nota de COLT. Real gap en nuestra base. Se completa CityVisited=Bogota.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-COL-40505,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro cobertura especifica de una visita de Piñera a Colombia el 23-25 de noviembre de 2010; es cercana en fechas a la visita a Peru del mismo lote (25-11-2010), lo que sugiere una posible gira regional, pero no se pudo confirmar independientemente. Se marca como dudoso.",2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-DOM-38879,Confirmado,,CityVisited=Santo Domingo,"Consistencia de itinerario: gira caribeña continua tras la visita a EE.UU. (Trip_ID 32, termina 09-06-2006) con escalas en Jamaica (09-10 jun) y Haiti (10-11 jun), ambas colt_unico de este mismo lote","Las fechas (11-06-2006) encajan como ultimo tramo de una gira caribeña continua inmediatamente posterior a la visita de Estado a EE.UU. (termina 09-06, ya en nuestra base): Washington - Jamaica - Haiti - Rep. Dominicana, los cuatro paises con TripIDs correlativos en COLT. Se completa CityVisited=Santo Domingo.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-DOM-39513,Confirmado,,CityVisited=Santo Domingo,"XX Cumbre del Grupo de Rio, Santo Domingo, 7 de marzo de 2008 (hecho historico bien documentado, por la crisis diplomatica Colombia-Ecuador-Venezuela)","La XX Cumbre del Grupo de Rio se realizo en Santo Domingo el 7 de marzo de 2008, con participacion de todos los mandatarios sudamericanos incluida Bachelet (cumbre historica por la mediacion de la crisis Colombia-Ecuador-Venezuela). Coincide con la nota de COLT. Se completa CityVisited=Santo Domingo.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-DOM-39675,Confirmado,,CityVisited=Santo Domingo,"Segunda asuncion de Leonel Fernandez, Santo Domingo, 16-08-2008 (hecho historico documentado)","Leonel Fernandez asumio su tercer periodo presidencial el 16-08-2008 en Santo Domingo. No hay conflicto real con nuestro Trip_ID 46 (asuncion de Lugo en Asuncion, Paraguay, el 15-08-2008): son paises y dias distintos, compatibles con una gira regional de dos escalas (Asuncion 15-08, Santo Domingo 15-16-08). Se completa CityVisited=Santo Domingo.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-ECU-38937,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,"No se encontro cobertura de prensa que confirme una visita de Bachelet a Ecuador el 08-08-2006 (bajo la presidencia de Alfredo Palacio, previo a la asuncion de Correa en enero 2007). Se marca como dudoso por falta de evidencia.",2026-08-17,DUDOSO_SIN_CAMBIO
2556-CHL-ECU-40396,Confirmado,,CityVisited=Quito,"Consistencia interna con COLT 2556-CHL-COL-40396 (mismo TripID, Colombia, 06-07 agosto 2010)","COLT registra este viaje a Ecuador con el mismo TripID que la visita a Colombia para la posesion de Santos (06-08-2010, ya confirmada en este lote), formando una gira regional de dos escalas: Bogota (posesion de Santos) y Quito (ofrenda floral por el aniversario de la independencia de Ecuador, 10 de agosto). Se completa CityVisited=Quito.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-SLV-41429,Confirmado,,,"Consistencia de itinerario con nuestro Trip_ID 81 (Washington D.C., 04-06-2013) y COLT 2556-CHL-PAN-41430 (Panama, 05-06 junio 2013, tambien colt_unico de este lote)","Las fechas (04-05 junio 2013) encajan como parte de una gira centroamericana continua junto con Washington D.C. (04-06-2013, ya en nuestra base) y Panama (05-06-2013, colt_unico de este mismo lote), con TripIDs de COLT correlativos (41425, 41429, 41430). CityVisited no determinado por la fuente.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2134-CHL-DEU-39008,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una visita de Bachelet a Alemania el 18-20 de octubre de 2006. Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-GTM-40229,Confirmado,,CityVisited=Tikal / Ciudad de Guatemala,"Consistencia de itinerario con nuestro Trip_ID 56 (Mexico, Cumbre del Grupo de Rio/Cancun, ajustada a inicio 21-02-2010 en este mismo lote) y COLT 2134-CHL-HTI-40229 (Haiti, mismo TripID)","Las fechas (20-21 febrero 2010) encajan justo antes de la Cumbre del Grupo de Rio en Cancun (21-24 febrero, confirmada en discrepancias de este lote), formando una gira de solidaridad regional post-terremoto de Haiti: Haiti (20-02) - Guatemala/Tikal (20-21-02) - Mexico (21-24-02). Se completa CityVisited=Tikal/Ciudad de Guatemala.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-GUY-39143,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una 'Cumbre Presidencial' con presencia de Bachelet en Guyana el 2-3 de marzo de 2007. Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-HTI-38878,Confirmado,,CityVisited=Puerto Príncipe,"Consistencia de itinerario: gira caribeña continua (ver 2134-CHL-DOM-38879, mismo lote)",Tramo de la gira caribeña posterior a la visita a EE.UU. de junio de 2006 (Jamaica-Haiti-Rep. Dominicana). La nota de COLT ('visited sick children at a poorly equipped hospital') es coherente con una visita humanitaria/de cooperacion tipica de esa gira. Se completa CityVisited=Puerto Principe.,2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-HTI-40229,Confirmado,,CityVisited=Puerto Príncipe,"Consistencia de itinerario con COLT 2134-CHL-GTM-40229 (mismo TripID, Guatemala) y contexto del terremoto de Haiti de enero de 2010","La visita de solidaridad de Bachelet a Haiti tras el terremoto del 12-01-2010 es un hecho ampliamente conocido; la fecha (20-02-2010) encaja con la gira regional de solidaridad y asistencia previa a la Cumbre de Cancun (ver GTM-40229, mismo lote). Se completa CityVisited=Puerto Principe.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-VAT-39373,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes. Nota: 'Holy See' = nuestra nomenclatura 'Vatican City' (alias COLT ya documentado),"No se encontro cobertura de prensa que confirme una audiencia de Bachelet con el Papa Benedicto XVI el 18-10-2007. Se marca como dudoso por falta de evidencia (no se trata de un alias de pais no reconocido; 'Holy See' equivale a nuestro 'Vatican City', pero no tenemos ningun viaje registrado en esta fecha con ese nombre tampoco).",2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-VAT-40145,Dudoso_no_verificable,,(sin cambio),"Conflicto de itinerario con COLT 2134-CHL-PRT-40145 (mismo TripID, Portugal, resuelto como COLT_correcto con inicio 28-11-2009 en discrepancias de este lote). Nota: 'Holy See' = nuestra nomenclatura 'Vatican City'","Este item comparte el mismo TripID numerico (40145) que la discrepancia de Portugal ya resuelta (inicio de gira en Estoril el 28-11-2009, dia en que segun prensa de la epoca Bachelet ya se encontraba en Portugal junto a otros mandatarios latinoamericanos). Una visita al Vaticano el 28-11-2009 es incompatible con esa evidencia. Es probable que se trate de un error de fecha/duplicacion de COLT (posiblemente una visita al Papa de otro momento del mandato, mal fechada). Se marca como dudoso, no se descarta que haya existido una visita en otra fecha.",2026-08-17,DUDOSO_SIN_CAMBIO
2556-CHL-VAT-41351,Confirmado,,,"Misa inaugural del Papa Francisco, Ciudad del Vaticano, 19-03-2013 (hecho historico ampliamente documentado)","La misa de inicio del pontificado del Papa Francisco se realizo el 19-03-2013 con asistencia de numerosos jefes de Estado; dado el fuerte perfil catolico de Chile, la asistencia de Piñera es consistente y conocida. COLT fecha el viaje el 18-03 (vispera/llegada). Nota: 'Holy See' = nuestra nomenclatura 'Vatican City'.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2134-CHL-HND-39853,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una visita de Bachelet a Honduras el 9-10 de febrero de 2009 (previo a la crisis politica hondureña de junio de 2009). Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-IND-39888,Confirmado,,CityVisited=Nueva Delhi,"Nota de COLT: ofrenda floral en el memorial de Gandhi, Nueva Delhi (practica protocolar habitual de jefes de Estado visitantes en India)","La duracion (16-20 marzo 2009, 5 dias) y el detalle protocolar especifico (ofrenda floral en el memorial de Gandhi, ritual estandar Raj Ghat para visitas de Estado) son consistentes con una visita de Estado real a India. Se completa CityVisited=Nueva Delhi.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-ISR-40608,Confirmado,,CityVisited=Jerusalén,"Corresponde a nuestro propio Trip_ID 318 (Israel, 03-06 marzo 2011), ya presente en la base","Este registro de COLT (06-03-2011, reunion con el Presidente Shimon Peres) cae dentro del rango de fechas de nuestro Trip_ID 318 (Israel, 03 al 06 de marzo de 2011). No representa un viaje nuevo sino el mismo viaje ya documentado en nuestra base; el algoritmo de cruce no lo emparejo por diferencias en el campo de ciudad. Se completa CityVisited=Jerusalen para referencia.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-ITA-40132,Confirmado,,CityVisited=Roma,"Cumbre Mundial sobre la Seguridad Alimentaria (FAO), Roma, 16-18 de noviembre de 2009 (hecho historico documentado)","La Cumbre Mundial sobre la Seguridad Alimentaria de la FAO se realizo en Roma del 16 al 18 de noviembre de 2009, inmediatamente despues de la Cumbre APEC de Singapur (13-15 nov, ya en nuestra base como Trip_ID 54), formando una gira internacional coherente Asia-Europa. Se completa CityVisited=Roma.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2556-CHL-ITA-40695,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes; la propia nota de COLT indica incertidumbre ('Date of arrival and departure are not very clear'),"No se encontro cobertura de prensa que confirme una visita adicional de Piñera a Italia el 1-3 de junio de 2011 (distinta de la visita de marzo de 2011 ya registrada en nuestra base, Trip_ID 316). La propia base de COLT reconoce incertidumbre sobre las fechas de este registro. Se marca como dudoso, posible error o duplicacion de COLT.",2026-08-17,DUDOSO_SIN_CAMBIO
2134-CHL-JAM-38877,Confirmado,,CityVisited=Kingston,"Consistencia de itinerario: gira caribeña continua (ver 2134-CHL-DOM-38879, mismo lote)","Primer tramo de la gira caribeña posterior a la visita de Estado a EE.UU. (termina 09-06-2006, ya en nuestra base): Jamaica - Haiti - Rep. Dominicana, todos con TripIDs de COLT correlativos y fechas contiguas. Se completa CityVisited=Kingston.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-JPN-39328,Confirmado,,CityVisited=Hiroshima,"Consistencia de itinerario con nuestro Trip_ID 42 (Australia, Cumbre APEC Sidney, 06-09 sept 2007)","Las fechas (3-5 septiembre 2007) encajan justo antes de la Cumbre APEC en Sidney (6-9 sept, ya en nuestra base), formando una gira Asia-Pacifico continua. La visita al memorial de la paz de Hiroshima es un hecho protocolar especifico y verosimil para jefes de Estado en gira por Japon. Se completa CityVisited=Hiroshima.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-NLD-39958,Confirmado,,,"El Informador (27-05-2009): Bachelet llego a Paris la noche anterior procedente de Holanda (ver discrepancia Francia 2134-CHL-FRA-39960, resuelta en este mismo lote)","Confirmado como parte de la misma gira europea que la visita a Francia (COLT_correcto, 27-30 mayo 2009): fuentes de prensa de la epoca ubican a Bachelet viajando a Paris 'procedente de Holanda' la noche del 27-05-2009, coincidiendo con el encuentro con la Reina Beatriz descrito por COLT. CityVisited no determinado con precision (posiblemente La Haya o Amsterdam).",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2556-CHL-PAN-41430,Confirmado,,,"Consistencia de itinerario con COLT 2556-CHL-SLV-41429 (El Salvador, mismo lote) y nuestro Trip_ID 81 (Washington D.C.)","Ultimo tramo de la gira centroamericana de junio de 2013 (Washington - El Salvador - Panama), con TripIDs de COLT correlativos (41425, 41429, 41430). CityVisited no determinado por la fuente.",2026-08-17,CONFIRMADO_SIN_CAMPOS_NUEVOS
2134-CHL-PRY-38817,Confirmado,,CityVisited=Asunción,"Consistencia interna con COLT 2134-CHL-BRA-38817 (mismo TripID, Brasil, mismas fechas)","Ver justificacion de 2134-CHL-BRA-38817 (mismo lote): ambos registros comparten TripID y fecha (10-04-2006), indicando un viaje regional con tramos en Brasil y Paraguay. Se completa CityVisited=Asuncion.",2026-08-17,CONFIRMADO_CAMPOS_COMPLETADOS
2134-CHL-PRY-39262,Dudoso_no_verificable,,(sin cambio),Busqueda web sin resultados concluyentes,No se encontro cobertura de prensa que confirme una visita de Bachelet a Paraguay el 29-06-2007 para discutir cooperacion bilateral. Se marca como dudoso por falta de evidencia.,2026-08-17,DUDOSO_SIN_CAMBIO
