Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
281,Cristina Fernández de Kirchner,2014-06-14,2014-06-15,Bolivia,Santa Cruz de la Sierra,Regional Summit,Cumbre G77+China (50° aniversario),Foro Sur-Sur 'Hacia un nuevo orden mundial para vivir bien'; anfitrion Evo Morales.,https://www.cfkargentina.com/g77china-hacia-un-nuevo-orden-mundial-para-vivir-bien/,High
325,Mauricio Macri,2017-05-24,2017-05-24,Ecuador,Quito,Inauguration/Funeral,Asunción de Lenín Moreno,Representar a Argentina en el cambio de mando.,https://www.infobae.com/politica/2017/05/24/mauricio-macri-sufrio-una-leve-descompensacion-en-ecuador/,Medium
337,Mauricio Macri,2018-08-15,2018-08-15,Paraguay,Asunción,Inauguration/Funeral,Asunción de Mario Abdo Benítez,Representar a Argentina en el cambio de mando.,https://www.casarosada.gob.ar/informacion/actividad-oficial/9-noticias/43400-macri-asistio-a-la-ceremonia-de-asuncion-del-nuevo-presidente-de-paraguay,High
339,Mauricio Macri,2018-12-18,2018-12-18,Uruguay,Montevideo,Regional Summit,53ª Cumbre del MERCOSUR,Argentina recibe presidencia pro tempore; condena a Venezuela; acuerdo con UE.,https://www.infobae.com/politica/2018/12/18/mauricio-macri-asumio-como-presidente-del-mercosur-y-volvio-a-condenar-la-dictadura-en-venezuela/,High
393,Alberto Fernández,2023-01-01,2023-01-01,Brazil,Brasília,Inauguration/Funeral,Asunción de Luiz Inácio Lula da Silva,Participó de la asunción del tercer mandato de Lula da Silva en Brasilia; bilateral el mismo día en el Palacio Itamaraty.,https://www.casarosada.gob.ar/slider-principal/49503-el-presidente-llego-a-brasil-para-asistir-a-la-asuncion-de-lula,High
413,Javier Milei,2024-02-23,2024-02-24,United States,Washington D.C.,Global Forum,CPAC (Conferencia de Acción Política Conservadora),Discurso en la CPAC; encuentro con Donald Trump y figuras de la derecha global.,https://www.casarosada.gob.ar/informacion/discursos/50371-palabras-del-presidente-de-la-nacion-javier-milei-en-la-conferencia-politica-de-accion-conservadora-cpac-en-washington-estados-unidos,High
454,Javier Milei,2026-01-17,2026-01-18,Paraguay,Asunción,Regional Summit,Firma del acuerdo MERCOSUR-UE,Testigo de honor en la firma del acuerdo MERCOSUR-Union Europea; respaldo a Pena; anuncio envio al Congreso.,https://www.casarosada.gob.ar/informacion/discursos/51152-discurso-del-presidente-javier-milei-durante-la-ceremonia-de-firma-del-acuerdo-entre-el-mercosur-y-la-union-europea,High
455,Javier Milei,2026-01-20,2026-01-22,Switzerland,Davos,Global Forum,Foro Económico Mundial (WEF),Tercer discurso consecutivo en Davos.,https://www.weforum.org/stories/2026/01/davos-2026-special-address-by-javier-milei-president-of-argentina/,High
456,Javier Milei,2026-02-18,2026-02-19,United States,Washington DC,Global Forum,Junta de la Paz (Board of Peace),Primera sesion de la Junta de la Paz de Trump; ofrecio los Cascos Blancos para la reconstruccion de Gaza.,https://www.infobae.com/politica/2026/02/19/durante-la-primera-sesion-de-la-junta-de-paz-javier-milei-ofrecio-los-cascos-blancos-para-la-reconstruccion-de-gaza/,High
457,Javier Milei,2026-03-07,2026-03-10,United States,Miami / New York,Global Forum,Cumbre Escudo de las Américas / Argentina Week,Cumbre Escudo de las Americas (Doral) con almuerzo de trabajo de Trump; inauguro Argentina Week en NY.,https://www.state.gov/translations/spanish/estados-unidos-sera-anfitrion-de-la-cumbre-escudo-de-las-americas,High
458,Javier Milei,2026-03-11,2026-03-11,Chile,Valparaíso,Inauguration/Funeral,Asunción de José Antonio Kast,Asuncion de Kast; la bilateral prevista en Cerro Castillo se suspendio a ultimo momento.,https://www.ambito.com/politica/javier-milei-participa-la-asuncion-jose-antonio-kast-chile-n6254788,High
459,Javier Milei,2026-03-13,2026-03-15,Spain,Madrid,Global Forum,Madrid Economic Forum 2026,Discurso de cierre del Madrid Economic Forum 2026 ante empresarios e inversores; recibió el premio Ludwig von Mises; encuentros con Abascal y Díaz Ayuso.,https://www.argentina.gob.ar/noticias/el-presidente-milei-diserto-en-el-madrid-economic-forum-2026,High
460,Javier Milei,2026-03-20,2026-03-21,Hungary,Budapest,State Visit,Presidente Tamás Sulyok / Primer Ministro Viktor Orbán,Primera visita de Estado argentina a Hungría; bilaterales con Sulyok y Orbán; discurso de cierre en la CPAC Hungría; doctorado honoris causa de la Universidad Ludovika.,https://www.argentina.gob.ar/noticias/el-presidente-javier-milei-se-reunio-con-el-presidente-de-hungria-tamas-sulyok,High
461,Javier Milei,2026-04-19,2026-04-21,Israel,Jerusalem,State Visit,Benjamin Netanyahu / Isaac Herzog,Tercera visita a Israel; firma de los Acuerdos de Isaac; vuelos directos El Al; Medalla Presidencial del Honor; ratifica traslado de embajada.,https://www.argentina.gob.ar/noticias/el-presidente-javier-milei-mantuvo-una-reunion-con-el-primer-ministro-del-estado-de-israel,High
462,Javier Milei,2026-05-06,2026-05-07,United States,Los Angeles,Global Forum,29ª Conferencia Global del Instituto Milken,Disertacion ante lideres de finanzas y tecnologia; busqueda de inversiones; cuarto viaje a EEUU en 2026.,https://www.infobae.com/politica/2026/05/01/javier-milei-vuelve-a-viajar-a-estados-unidos-participara-de-la-conferencia-global-del-instituto-milken/,High
463,Javier Milei,2026-06-25,2026-06-27,Spain,Madrid,Working Visit,Clase magistral en Universidad CEU San Pablo / empresarios,"Sexta visita a Espania; charla y reuniones con empresarios (Santander, BBVA, Telefonica, Iberia); sin agenda institucional con autoridades.",https://www.infobae.com/politica/2026/06/24/javier-milei-inicia-el-primero-de-tres-viajes-internacionales-e-ira-a-espana-a-dar-una-charla-y-mantener-reuniones-con-empresarios/,High
