PELATAM_TripID,MetHostHoGS,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,fuente,justificacion,fecha
PELATAM-CHL-53,No_verificable,No_verificable,,Yes,No_verificable,No_verificable,No_verificable,No_verificable,,https://gadebate.un.org/en/64/chile,"La fuente oficial de la ONU (gadebate.un.org) confirma que Chile participó con una declaración/discurso en el Debate General de la 64ª Asamblea General (sept 2009), por lo que PublicAddress=Yes. Se encontró evidencia de una reunión bilateral Bachelet-Obama en la Casa Blanca, pero corresponde a junio de 2009 (visita distinta a Washington), no a esta visita de septiembre a Nueva York por la AGNU; no se halló evidencia específica de un encuentro con Obama u otros jefes de Estado durante esta semana de la Asamblea General, por lo que se declara incertidumbre en vez de asumir ausencia o presencia.",2026-08-18
PELATAM-CHL-67,Yes,Yes,"Juan Carlos I, Rey de España, y otros jefes de Estado/Gobierno iberoamericanos presentes",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://www.cancilleria.gob.ar/es/actualidad/comunicados/declaracion-de-mar-del-plata-xx-cumbre-iberoamericana-2010 ; https://segib.org/es/cumbre/xx-cumbre-iberoamericana/,"La XX Cumbre Iberoamericana (Mar del Plata, 3-4 dic 2010, tema 'Educación para la Inclusión Social') fue presidida por la anfitriona Cristina Fernández de Kirchner, con Piñera entre los asistentes confirmados. Se aprobó la Declaración de Mar del Plata. El Rey Juan Carlos I asistía de forma habitual. No se halló evidencia concreta de la participación de Piñera en un acto conmemorativo específico a Néstor Kirchner (fallecido en oct-2010), ni de sitio cultural, foro empresarial o encuentro con líder de organismo internacional adicional.",2026-08-18
PELATAM-CHL-69,Yes,Yes,"Juan Manuel Santos (Colombia), Felipe Calderón (México)",No_verificable,Yes,No_verificable,No_verificable,No_verificable,,https://es.wikipedia.org/wiki/Alianza_del_Pac%C3%ADfico ; https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf,"La cumbre fundacional de la Alianza del Pacífico se realizó en Lima el 28-abr-2011, con el anfitrión Alan García recibiendo a Piñera, Santos (Colombia) y Calderón (México); los cuatro instruyeron a sus cancillerías desarrollar el acuerdo marco y emitieron la Declaración de Lima, acta fundacional del bloque. No se halló evidencia específica de un discurso público individual de Piñera, sitio cultural/ceremonia, foro empresarial o encuentro con líder de organismo internacional en esta cumbre puntual.",2026-08-18
PELATAM-CHL-71,No_verificable,Yes,No especificados por nombre en las fuentes consultadas; prensa oficial chilena confirma que Piñera tuvo 'encuentros con Jefes de Estado y principales líderes de organismos multilaterales' durante su participación en la 66ª AGNU,Yes,No_verificable,No_verificable,No_verificable,No_verificable,,https://www.chile.gob.cl/chile/blog/onu/nueva-york/presidente-pinera-interviene-en-asamblea-general-de-la-onu ; https://prensa.presidencia.cl/discurso.aspx?id=82805,"Fuente citada como Source_Verification confirma que Piñera intervino ante la 66ª Asamblea General de la ONU el 23-sept-2011 (PublicAddress=Yes). Prensa oficial de Presidencia (prensa.presidencia.cl) señala genéricamente que tuvo agenda de reuniones con jefes de Estado y organismos internacionales, pero no se hallaron nombres específicos con evidencia suficiente tras una búsqueda razonable, por lo que MetIGOLeader y los nombres puntuales se marcan con incertidumbre donde corresponde. No se halló evidencia de reunión con el presidente de EEUU (anfitrión) durante esta semana específica.",2026-08-18
PELATAM-CHL-72,Yes,Yes,"José Luis Rodríguez Zapatero (Presidente del Gobierno de España), Ollanta Humala (Perú, en su debut como presidente), entre otros jefes de Estado/Gobierno presentes (con 11 ausencias notables)",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-interviene-en-cumbre-iberoamericana-de-paraguay ; https://www.cancilleria.gov.co/sala-de-prensa/noticias/culmino-cumbre-iberoamericana-en-paraguay-con-la-aprobacion-de-la-declaracion-de-asuncion,"La XXI Cumbre Iberoamericana (Asunción, 28-29 oct 2011, tema 'Transformación del Estado y Desarrollo') fue inaugurada por el anfitrión Fernando Lugo junto al Secretario General Iberoamericano Enrique Iglesias; Piñera y su canciller participaron en la primera sesión plenaria (fuente oficial confirma su intervención). Fue el debut de Humala y la despedida de Zapatero (Jefe de Gobierno de España) en estas cumbres. Culminó con la aprobación de la Declaración de Asunción. No se halló evidencia de sitio cultural, foro empresarial o encuentro con líder de organismo internacional adicional al Secretario General Iberoamericano.",2026-08-18
PELATAM-CHL-75,Yes,Yes,"Barack Obama (Estados Unidos), y otros jefes de Estado/Gobierno del continente americano",No_verificable,No,No_verificable,No_verificable,No_verificable,,https://es.wikipedia.org/wiki/VI_Cumbre_de_las_Am%C3%A9ricas ; https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2012.pdf,"La VI Cumbre de las Américas (Cartagena, 14-15 abr 2012) fue presidida por el anfitrión Juan Manuel Santos, con la asistencia de Piñera, Barack Obama y otros líderes regionales. Es un hecho histórico bien documentado que esta cumbre NO logró una declaración final consensuada por las diferencias sobre la exclusión de Cuba y la disputa de Malvinas, por lo que SignedAgreement se marca 'No' con razonable confianza. No se halló evidencia específica de un discurso público individual de Piñera, sitio cultural/ceremonia, participación en foro empresarial ni encuentro con líder de organismo internacional en esta cumbre puntual.",2026-08-18
PELATAM-CHL-82,Yes,Yes,"Dilma Rousseff (Brasil), Cristina Fernández de Kirchner (Argentina), José Mujica (Uruguay), Ollanta Humala (Perú)",No_verificable,No_verificable,Yes,No_verificable,No_verificable,,https://cnnespanol.cnn.com/2013/08/15/horacio-cartes-asume-la-presidencia-de-paraguay ; https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-en-paraguay-tenemos-la-firme-voluntad-e-intencion-de,"En la investidura de Horacio Cartes (Asunción, 15-ago-2013), fuente confirma explícitamente que 'Cartes... recibió a Piñera' tras recibir primero al presidente brasileño; también estuvieron presentes Rousseff, Cristina Fernández de Kirchner, Mujica y Humala. La asistencia a la ceremonia de investidura constituye la 'ceremonia' del campo CulturalSiteOrCeremony. No se halló evidencia de discurso público formal distinto a declaraciones de prensa, firma de acuerdo, foro empresarial o encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-84,Yes,Yes,"Enrique Peña Nieto (México), Ollanta Humala (Perú), Laura Chinchilla (Costa Rica, en proceso de adhesión)",No_verificable,Yes,No_verificable,No_verificable,No_verificable,,https://es.wikipedia.org/wiki/VIII_Cumbre_de_la_Alianza_del_Pac%C3%ADfico ; https://www.gob.mx/sre/documentos/declaracion-de-la-viii-cumbre-de-la-alianza-del-pacifico,"La VIII Cumbre de la Alianza del Pacífico (Cartagena, 8-10 feb 2014) fue presidida por el anfitrión Juan Manuel Santos, con la asistencia de Piñera, Peña Nieto y Humala, además de la presidenta de Costa Rica Laura Chinchilla (país en proceso de adhesión). Se firmó el protocolo de eliminación arancelaria del 92% y la Declaración de la VIII Cumbre; los otros presidentes reconocieron públicamente a Piñera como cofundador del bloque, en su último viaje del mandato. No se halló evidencia de discurso público individual formal, sitio cultural/ceremonia, foro empresarial ni encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-86,Yes,Yes,"Juan Manuel Santos (Colombia), Ollanta Humala (Perú)",No_verificable,Yes,No_verificable,No_verificable,No_verificable,,https://elsoldenayarit.mx/politica/27796-inaugura-pena-ix-cumbre-de-la-alianza-del-pacifico ; https://www.gob.mx/se/prensa/se-realizara-la-ix-cumbre-de-la-alianza-del-pacifico-nayarit,"La IX Cumbre de la Alianza del Pacífico (Punta Mita, Nayarit, 19-20 jun 2014) fue inaugurada por el anfitrión Enrique Peña Nieto, con la asistencia confirmada de Bachelet, Santos y Humala. Culminó con la firma de la Declaración de Punta Mita; Bachelet destacó nuevas áreas de trabajo (minería, igualdad de género, transporte aéreo). No se halló evidencia de discurso público formal individual, sitio cultural/ceremonia, foro empresarial ni encuentro con líder de organismo internacional en esta cumbre puntual.",2026-08-18
PELATAM-CHL-88,Yes,Yes,"Felipe VI (Rey de España), Mariano Rajoy (Presidente del Gobierno de España), Ollanta Humala (Perú), Rafael Correa (Ecuador), Juan Manuel Santos (Colombia), Luis Guillermo Solís (Costa Rica)",Yes,Yes,No_verificable,No_verificable,No_verificable,,https://www.lamoncloa.gob.es/multimedia/galeriasfotograficas/presidente/Paginas/2014/091214cumbrejornada1.aspx ; https://es.wikipedia.org/wiki/XXIV_Cumbre_Iberoamericana,"La XXIV Cumbre Iberoamericana (Veracruz, 8-9 dic 2014) fue presidida por el anfitrión Enrique Peña Nieto. Fuente oficial española (La Moncloa) confirma que el Rey Felipe VI estuvo acompañado por los presidentes de Perú (Humala), Ecuador (Correa), Colombia (Santos), el jefe de Gobierno de España (Rajoy), Andorra (Martí), Costa Rica (Solís) y Chile (Bachelet); 17 de los 22 países miembros asistieron. Se alcanzaron acuerdos concretos en materia educativa, cultural, de salud y juventud (Declaración de Veracruz). El formato estándar de cumbres iberoamericanas incluye intervenciones plenarias. No se halló evidencia de sitio cultural, foro empresarial o encuentro con líder de organismo internacional adicional.",2026-08-18
PELATAM-CHL-89,Yes,Yes,"Juan Carlos I (Rey Emérito de España), Raúl Castro (Cuba), Rafael Correa (Ecuador), Dilma Rousseff (Brasil), Ollanta Humala (Perú), Horacio Cartes (Paraguay)",No_verificable,No_verificable,Yes,No,No_verificable,,https://www.infobae.com/america/fotos/2020/12/06/en-fotos-la-vida-politica-de-tabare-vazquez-y-sus-encuentros-con-los-presidentes-de-la-region-y-el-mundo/ ; https://www.lr21.com.uy/politica/1219289-tabare-vazquez-asuncion-presidente-uruguay-2015-2020,"La investidura de Tabaré Vázquez (Montevideo, 1-mar-2015) contó con la presencia confirmada del Rey Emérito Juan Carlos I, Raúl Castro, Rafael Correa, Michelle Bachelet, Dilma Rousseff, Ollanta Humala y Horacio Cartes; Argentina estuvo representada por el vicepresidente Amado Boudou (no Cristina Kirchner). Asistir a la ceremonia de investidura constituye la 'ceremonia' de este campo. No se halló evidencia de discurso público de Bachelet, firma de acuerdo o encuentro con líder de organismo internacional en esta visita puntual.",2026-08-18
PELATAM-CHL-94,Yes,Yes,"Juan Manuel Santos (Colombia), Enrique Peña Nieto (México)",No_verificable,Yes,No_verificable,Yes,No_verificable,,https://rpp.pe/politica/actualidad/alianza-del-pacifico-texto-de-la-declaracion-de-paracas-noticia-813464 ; https://radio.uchile.cl/2015/07/01/los-proximos-desafios-de-la-alianza-del-pacifico/,"La X Cumbre de la Alianza del Pacífico (Paracas, 1-3 jul 2015) fue presidida por el anfitrión Ollanta Humala, con la asistencia de Bachelet, Santos y Peña Nieto; culminó con la firma de la Declaración de Paracas. En el marco de la cumbre se realizó la III Rueda de Negocios Macro (Macro Business Roundtable) de la Alianza del Pacífico, evento empresarial asociado directamente al encuentro presidencial. No se halló evidencia de sitio cultural/ceremonia formal ni de encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-97,Yes,No_verificable,,Yes,No_verificable,No_verificable,No_verificable,No_verificable,,https://cooperativa.cl/noticias/sociedad/medioambiente/clima/bachelet-entrego-su-solidaridad-a-francia-en-inicio-de-cumbre-del-clima/2015-11-30/105436.html ; https://www.foxnews.com/world/chilean-president-starts-official-visit-to-france-aiming-at-boosting-economic-exchanges,"Bachelet realizó una visita oficial a Francia coincidente con el inicio de la COP21, reuniéndose con el presidente François Hollande en el Palacio del Elíseo para preparar la conferencia climática (anfitrión, MetHostHoGS=Yes). Participó en el 'Leaders' event' de apertura de la COP21 el 30-nov-2015, entregando declaraciones públicas de solidaridad con Francia tras los atentados de París (PublicAddress=Yes, fuente Cooperativa.cl). El Acuerdo de París fue adoptado recién el 12-dic-2015, después de la salida de los jefes de Estado, y su firma formal ocurrió en abril de 2016 en Nueva York, por lo que no se confirma la firma de un acuerdo durante esta visita puntual. No se halló evidencia específica de reuniones bilaterales con otros jefes de Estado, sitio cultural/ceremonia, foro empresarial o encuentro con líder de organismo internacional.",2026-08-18
PELATAM-CHL-98,Yes,Yes,"Horacio Cartes (Paraguay), Juan Manuel Santos (Colombia), Dilma Rousseff (Brasil), Ollanta Humala (Perú), Danilo Medina (República Dominicana), Juan Carlos Varela (Panamá), Jimmy Morales (Guatemala), entre otros",Yes,Yes,No_verificable,No_verificable,No_verificable,,http://archivospresidenciales.archivonacional.cl/index.php/intervencion-de-michelle-bachelet-en-plenario-de-la-iv-cumbre-celac ; https://www.gob.mx/sre/documentos/declaracion-politica-de-quito-iv-cumbre-de-la-comunidad-de-estados-latinoamericanos-y-caribenos-celac,"La IV Cumbre CELAC (Quito, 26-27 ene 2016) fue presidida por el anfitrión Rafael Correa y reunió a 22 jefes de Estado/Gobierno, incluidos Cartes, Santos, Rousseff, Humala, Medina, Varela y Morales, entre otros. El Archivo Presidencial oficial de Chile confirma la 'Intervención de Michelle Bachelet en Plenario de la IV Cumbre CELAC' (PublicAddress=Yes). Se aprobó la Declaración Política de Quito el 27-ene-2016 (SignedAgreement=Yes). No se halló evidencia de sitio cultural/ceremonia, foro empresarial ni encuentro con líder de organismo internacional adicional.",2026-08-18
PELATAM-CHL-152,Yes,Yes,"Guillermo Lasso (Ecuador), Gustavo Petro (Colombia), Alberto Fernández (Argentina)",No_verificable,No_verificable,Yes,No,No_verificable,,https://www.latercera.com/politica/noticia/presidente-boric-sostiene-reunion-bilateral-en-brasil-con-el-recien-asumido-lula-da-silva/TDWTA7TBQNB4NN3N4GTETCURKM/ ; https://www.biobiochile.cl/noticias/nacional/chile/2023/01/01/presidente-boric-ya-esta-en-brasil-para-investidura-de-lula-da-silva-viajo-junto-a-ricardo-lagos-e.shtml,"La Tercera confirma que Boric sostuvo una reunión bilateral en el Palacio Itamaraty con el recién asumido Lula da Silva (anfitrión, MetHostHoGS=Yes) tras la investidura del 1-ene-2023. Entre los otros líderes regionales presentes en la ceremonia se confirmaron Guillermo Lasso (Ecuador), Gustavo Petro (Colombia) y Alberto Fernández (Argentina). La asistencia a la ceremonia de investidura constituye la 'ceremonia' de este campo. No se halló evidencia de discurso público formal de Boric, firma de acuerdo o encuentro con líder de organismo internacional en esta visita puntual.",2026-08-18
PELATAM-CHL-158,No_verificable,No,,No_verificable,No_verificable,No_verificable,No,Yes,Fabiola Gianotti (Directora General del CERN); Tedros Adhanom Ghebreyesus (Director General de la Organización Mundial de la Salud),https://www.infobae.com/america/agencias/2023/07/19/boric-da-un-paso-decisivo-en-ginebra-para-que-chile-sea-un-estado-asociado-del-cern/ ; https://www.latercera.com/politica/noticia/presidente-gabriel-boric-visita-el-centro-europeo-para-la-investigacion-nuclear-cern-y-anuncia-que-chile-inicio-proceso-para-ser-un-estado-miembro-asociado-del-laboratorio/2V3EQV22XZDBBC2SJVWIV6SJBQ/,"Boric visitó el CERN en Ginebra (19-jul-2023) acompañado por la directora general Fabiola Gianotti, anunciando el inicio del proceso para que Chile sea Estado asociado del organismo. La misma visita a Ginebra incluyó un encuentro con Tedros Adhanom Ghebreyesus, director general de la Organización Mundial de la Salud (OMS), confirmando MetIGOLeader=Yes con ambos nombres. No se halló evidencia de reunión con autoridades del gobierno federal suizo (anfitrión formal del país) durante esta visita centrada en organismos internacionales, ni de discurso público formal, firma de acuerdo, sitio cultural/ceremonia o foro empresarial.",2026-08-18
PELATAM-CHL-159,Yes,No,,Yes,Yes,No_verificable,No_verificable,No,,https://www.emol.com/noticias/Nacional/2023/07/21/1101654/boric-declaracion-conjunta-macron.html ; https://www.df.cl/economia-y-politica/actualidad/en-su-ultimo-dia-de-gira-a-europa-boric-acuerda-con-macron-fortalecer,"Boric fue recibido por Emmanuel Macron en el Palacio del Elíseo el 21-jul-2023, cierre de su gira europea; ambos ofrecieron una declaración conjunta ante la prensa con contenido sustantivo (PublicAddress=Yes). Diario Financiero confirma que Boric 'acuerda con Macron fortalecer relaciones comerciales y desarrollo de litio e hidrógeno verde', y otra fuente señala un acuerdo de cooperación en IA, lo que constituye compromisos/declaración conjunta formalizada (SignedAgreement=Yes). No se halló evidencia de encuentro con otros jefes de Estado, sitio cultural/ceremonia, foro empresarial o líder de organismo internacional en este tramo bilateral.",2026-08-18
PELATAM-CHL-177,Yes,Yes,"Luiz Inácio Lula da Silva (Brasil), Gustavo Petro (Colombia), Luis Arce (Bolivia), Santiago Peña (Paraguay)",No_verificable,No_verificable,Yes,No,No_verificable,,https://www.biobiochile.cl/noticias/internacional/america-latina/2025/03/01/con-la-presencia-de-boric-frenteamplista-yamandu-orsi-asumio-el-poder-en-uruguay.shtml ; https://www.latercera.com/politica/noticia/boric-asiste-al-ascenso-de-yamandu-orsi-fa-a-la-presidencia-de-uruguay/OT7OWTFASBEK3DKQA6F4QMJLFU/,"Boric asistió a la investidura de Yamandú Orsi en Montevideo (1-mar-2025), anfitrión de su propia ceremonia (MetHostHoGS=Yes). El propio Trip_Objective de la base ya documenta bilaterales explícitas con Arce (Bolivia) y (Santiago) Peña (Paraguay); adicionalmente se confirmó una cena de líderes progresistas con Lula (Brasil) y Petro (Colombia) para 'repensar la democracia'. La asistencia a la ceremonia de investidura constituye la 'ceremonia' de este campo. No se halló evidencia de discurso público formal de Boric, firma de acuerdo o encuentro con líder de organismo internacional en esta visita puntual.",2026-08-18
