Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
273,Luiz Inácio Lula da Silva,2026-04-19,2026-04-20,Germany,Hannover,State Visit,Friedrich Merz / Hannover Messe 2026,"Visita de Estado; honores del canciller Merz; ~10 acuerdos (defensa, IA, clima, minerales criticos); Brasil pais socio de la feria.",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-adotados-por-ocasiao-da-visita-de-estado-do-presidente-luiz-inacio-lula-da-silva-a-hannover-alemanha-19-e-20-de-abril-de-2026-2,High
274,Luiz Inácio Lula da Silva,2026-04-21,2026-04-21,Portugal,Lisboa,Working Visit,PM Luís Montenegro / presidente António José Seguro,Cierre de gira europea; cooperacion bilateral con foco en la comunidad brasilenia y la CPLP.,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2026/04/presidente-lula-cumpre-agenda-na-espanha-alemanha-e-portugal-entre-17-e-21-de-abril,High
275,Luiz Inácio Lula da Silva,2026-05-06,2026-05-08,United States,Washington DC,Working Visit,Donald Trump,"Reunion de casi tres horas en la Casa Blanca (7/5): tarifaço, Seccion 301/Pix, crimen organizado, minerales criticos, reforma de la ONU.",https://agenciabrasil.ebc.com.br/internacional/noticia/2026-05/lula-deixa-a-casa-branca-apos-reuniao-com-trump,High
276,Luiz Inácio Lula da Silva,2026-06-15,2026-06-15,Switzerland,Geneva,Working Visit,Guy Parmelin,"Bilateral con el presidente suizo sobre comercio y Acuerdo MERCOSUR-EFTA, al llegar a Ginebra rumbo al G7.",https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/notas-oficiais/notas-a-imprensa/lula-tem-reuniao-bilateral-com-o-presidente-da-suica-guy-parmelin,High
277,Luiz Inácio Lula da Silva,2026-06-15,2026-06-17,France,Évian-les-Bains,Global Forum,Cumbre del G7 de Évian (invitado),"Decima participacion en el G7; parcerias internacionales, crecimiento e IA; bilaterales con Macron y la PM japonesa Takaichi.",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/participacao-do-presidente-luiz-inacio-lula-da-silva-na-cupula-do-g7-em-evian-les-bains-franca-2013-16-e-17-de-junho-de-2026,High
278,Luiz Inácio Lula da Silva,2026-06-30,2026-06-30,Paraguay,Asunción,Regional Summit,LXVIII Cúpula do MERCOSUL,Defensa del MERCOSUR como necesidad estrategica; aporte de USD 100 millones al FOCEM; bilateral con Kast.,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2026/06/presidente-lula-participa-da-lxviii-cupula-do-mercosul-no-paraguai-em-30-de-junho,High
281,Luiz Inácio Lula da Silva,2026-01-27,2026-01-28,Panama,Panama City,Global Forum,Foro Económico CAF América Latina y Caribe / José Raúl Mulino,Abrio el Foro Economico de la CAF; visita de Estado y bilateral con Mulino; acuerdos comerciales y de inversion.,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2026/01/201camerica-latina-e-caribe-sao-capazes-de-construir-um-projeto-autonomo-de-insercao-internacional201d-diz-lula-no-panama,High
282,Luiz Inácio Lula da Silva,2026-02-18,2026-02-22,India,New Delhi,State Visit,Narendra Modi / Cumbre sobre Impacto de la IA,Visita de Estado; cumbre global de IA; foro empresarial; 11 acuerdos; meta comercial de USD 20000 millones.,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2026/02/lula-fortalece-parcerias-comerciais-e-economicas-em-viagem-a-india-e-a-coreia-do-sul,High
283,Luiz Inácio Lula da Silva,2026-02-22,2026-02-24,South Korea,Seoul,State Visit,Lee Jae-myung,Primera visita de Estado a Corea del Sur; Plan de Accion Trienal 2026-2029; Foro Empresarial Brasil-Corea.,https://agenciabrasil.ebc.com.br/internacional/noticia/2026-02/itamaraty-detalha-viagem-de-lula-india-e-coreia-do-sul,High
284,Luiz Inácio Lula da Silva,2026-02-24,2026-02-25,United Arab Emirates,Abu Dhabi,Working Visit,Mohammed bin Zayed Al Nahyan,Reunion con el emir de Abu Dhabi para cerrar el giro asiatico; sin visita de Estado ni firma de acuerdos.,https://www.poder360.com.br/poder-governo/lula-vai-a-abu-dhabi-em-escala-surpresa-para-encerrar-tour-pela-asia/,Medium
285,Luiz Inácio Lula da Silva,2026-03-21,2026-03-21,Colombia,Bogotá,Regional Summit,X Cumbre CELAC / I Foro CELAC-África,Cumbre de la CELAC y Foro CELAC-Africa; defensa de la soberania regional; baja adhesion de lideres.,https://www.correiobraziliense.com.br/politica/2026/03/7381003-lula-participa-de-cupula-da-celac-e-forum-com-paises-africanos.html,High
349,Fernando Henrique Cardoso,2000-03-01,2000-03-01,Uruguay,Montevideo,Inauguration/Funeral,Posse de Jorge Batlle,"Asuncao de Jorge Batlle como presidente do Uruguai; FHC entre os cinco presidentes convidados (De la Rua, Cardoso, Gonzalez Macchi, Banzer, Chavez).",https://www.lanacion.com.ar/el-mundo/jorge-batlle-asume-la-presidencia-de-uruguay-nid7337/,High
358,Fernando Henrique Cardoso,2002-07-04,2002-07-05,Argentina,Buenos Aires,Regional Summit,"XXII Cúpula de Chefes de Estado do MERCOSUL (Brasil assume a Presidência Pro Tempore, sucedendo a Argentina de Duhalde)",Participação na cúpula ordinária do Mercosul em Buenos Aires; Brasil assume a Presidência Pro Tempore do bloco a partir de 1/7/2002.,https://portal.stf.jus.br/textos/verTexto.asp?servico=bibliotecaConsultaProdutoBibliotecaPastaMinistro&pagina=ExercicionaPresidenciadaRepublica,High
