colt_TripID,campo,valor_original,valor_nuevo,fuente,justificacion,fecha_aplicado
1780-BRA-VEN-37858,TripStartDate,2003-08-25T00:00:00,2003-08-26,"Coherencia con 1780-BRA-GUY-37859 (colt_unico: Guyana 26-27/08/2003, registrado por COLT inmediatamente despues de Venezuela)","COLT mismo registra el viaje inmediatamente siguiente (Guyana) como iniciado el 26/08/2003; si Venezuela hubiera durado hasta el 26/08 (como propone COLT para este item, 25-26/08), no habria margen logico para el traslado a Guyana ese mismo dia. Un dia unico en Venezuela (26/08, nuestro) con salida inmediata a Guyana es mas consistente.",2026-08-16
1780-BRA-MEX-37886,TripStartDate;TripEndDate,2003-09-22T00:00:00 / 2003-09-23T00:00:00,2003-09-25 / 2003-09-26,Search Query: Lula Mexico setembro 2003 Vicente Fox (reunion privada en Los Pinos 25/09/2003; firma de acuerdo de doble tributacion reportada 26/09/2003),"Se confirma una reunion Lula-Fox en la Residencia Oficial de Los Pinos el 25/09/2003 y la firma de un acuerdo bilateral reportada el 26/09/2003, coincidiendo con nuestras fechas; el rango de COLT (22-23/09) no coincide con ninguna fuente encontrada.",2026-08-16
994-BRA-ESP-37189,TripEndDate,2001-11-01T00:00:00,2001-10-27,Search Query: Fernando Henrique Cardoso Espanha Franca outubro 2001 Aznar Chirac (O Estado de S.Paulo 25/10/2001),"El fin de COLT para Espana (01/11) es inconsistente con el propio registro COLT del viaje a Francia inmediatamente posterior, que segun COLT inicia el 29/10 (994-BRA-FRA-37193) -- no podria haber terminado en Espana el 01/11 si ya estaba en Francia el 29/10. Se sospecha error de tipeo en COLT (posible confusion de mes/dia), pero no se hallo fuente independiente que confirme la fecha exacta de fin en Espana.",2026-08-16
1780-BRA-CHE-38014,TripStartDate,2004-01-28T00:00:00,2004-01-29,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia registra 'Switzerland: Geneva; 29-30 January', coincide con nuestra fecha de inicio (29 ene). El dato de COLT (28 ene) es erróneo.",2026-08-16
1780-BRA-VEN-38043,TripEndDate,2004-02-27T00:00:00,2004-02-28,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil","Wikipedia registra 'Venezuela | Caracas | 26-28 February' (encuentro con Chávez, cumbre G-15), coincide con nuestra fecha de fin (28 feb). El dato de COLT (27 feb) es erróneo.",2026-08-16
1780-BRA-CHN-38129,TripStartDate;TripEndDate,2004-05-22T00:00:00 / 2004-05-25T00:00:00,2004-05-22 / 2004-05-26,"FUNAG/Itamaraty - Cronologia da Política Externa do Governo Lula (2003-2006), https://funag.gov.br/loja/download/718-Cronologia_da_PolItica_Externa_do_Governo_Lula_2003_-_2006.pdf (sección MAIO 2004, 'DIAS 22-26: O Presidente Lula visita a China...'); corroborado por Wikipedia ('China: Beijing and Shanghai; 22-26 May').",La cronología oficial de Itamaraty/FUNAG indica explícitamente que la visita a China fue del 22 al 26 de mayo de 2004. El inicio de COLT (22) es correcto pero el fin (25) es un día corto; nuestra base (21-27 may) está incorrecta en ambos extremos. Se propone corregir a 2004-05-22/2004-05-26.,2026-08-16
1780-BRA-PRT-38637,TripStartDate,2005-10-12T00:00:00,2005-10-13,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia: 'Portugal | Porto | 13 October; Met with Prime Minister José Sócrates' (visita de un solo día). Coincide con nuestra fecha (13 oct). El dato de COLT (12 oct) es erróneo.,2026-08-16
1780-BRA-ESP-38638,TripStartDate,2005-10-13T00:00:00,2005-10-14,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia: 'Spain: Salamanca; 14-15 October; Attended the 15th Ibero-American summit'. Coincide con nuestra fecha de inicio (14 oct). El dato de COLT (13 oct) es erróneo.,2026-08-16
1780-BRA-ITA-38640,TripStartDate,2005-10-15T00:00:00,2005-10-16,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia: 'Italy: Rome; 16-17 October; Met with President Carlo Azeglio Ciampi'. Coincide con nuestra fecha de inicio (16 oct). El dato de COLT (15 oct) es erróneo.,2026-08-16
1780-BRA-NGA-39049,TripStartDate,2006-11-28T00:00:00,2006-11-29,"Agência Brasil, 'Lula chega à Nigéria para a Cúpula África-América do Sul' (29/11/2006, memoria.ebc.com.br); Wikipedia ('Nigeria | Abuja | 29-30 November'); Itamaraty, discurso de abertura da Cúpula em Abuja, 30 de novembro de 2006.","La prensa de la época (Agência Brasil) confirma que Lula llegó a Nigeria el 29 de noviembre de 2006, y la cumbre África-América do Sul se inauguró el 30. Ni el dato de COLT (28 nov) ni el nuestro (30 nov únicamente) coinciden; se propone corregir el inicio a 2006-11-29.",2026-08-16
1780-BRA-BOL-38176,TripStartDate;TripEndDate,2004-07-08T00:00:00 / 2004-07-08T00:00:00,2004-07-09 / 2004-07-09,"FUNAG/Itamaraty - Cronologia da Política Externa do Governo Lula (2003-2006), https://funag.gov.br/loja/download/718-Cronologia_da_PolItica_Externa_do_Governo_Lula_2003_-_2006.pdf (sección JULHO 2004: 'DIA 9 - O Presidente Lula visita a Bolívia e se encontra, em Santa Cruz de la Sierra, com o Presidente Carlos Mesa').","La cronología oficial de Itamaraty/FUNAG registra explícitamente la visita a Bolivia el día 9 de julio de 2004 (un día después de la Cúpula del Mercosur en Puerto Iguazú, 7-8 jul). Nuestra fecha (9 jul) es correcta; el dato de COLT (8 jul) es erróneo, probablemente confundido con la fecha de la cumbre del Mercosur.",2026-08-16
1780-BRA-CHL-38221,TripStartDate,2004-08-22T00:00:00,2004-08-23,"List of international presidential trips made by Luiz Inácio Lula da Silva (en.wikipedia.org), tabla sourced from Biblioteca da Presidência do Brasil",Wikipedia: 'Chile | Santiago | 23-24 August'. Coincide con nuestra fecha de inicio (23 ago). El dato de COLT (22 ago) es erróneo.,2026-08-16
1780-BRA-CHE-38379,TripStartDate,2005-01-27T00:00:00,2005-01-28,"FUNAG/Itamaraty - Cronologia da Política Externa do Governo Lula (2003-2006), https://funag.gov.br/loja/download/718-Cronologia_da_PolItica_Externa_do_Governo_Lula_2003_-_2006.pdf (sección 2005: 'DIAS 28-29 - O Presidente Lula participa do Fórum Econômico Mundial em Davos, Suíça').",La cronología oficial de Itamaraty/FUNAG registra explícitamente la participación de Lula en Davos los días 28-29 de enero de 2005. Coincide con nuestra fecha de inicio (28 ene). El dato de COLT (27 ene) es erróneo.,2026-08-16
1780-BRA-DNK-40162,TripStartDate,2009-12-15T00:00:00,2009-12-17,"Itamaraty, archivo de discursos presidenciales: 'Discurso ... por ocasião da plenária da Conferência das Partes ... Copenhague, 17 de dezembro de 2009'; cobertura de prensa del discurso de Lula en la plenária de líderes del último día de la COP-15","Fuente oficial (Itamaraty) confirma que el discurso de Lula en la plenária de la COP-15 fue el 17-dic-2009, coincidiendo exactamente con nuestra fecha de inicio. No se halló evidencia de presencia de Lula en Copenhague desde el 15-dic (COLT); la fecha de cierre (18-dic) coincide en ambas bases.",2026-08-16
2652-BRA-CHN-40643,TripStartDate,2011-04-10T00:00:00,2011-04-11,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-da-presidenta-dilma-rousseff-a-china-pequim-11-a-13-de-abril-de-2011-programa-de-imprensa,"El programa oficial de Itamaraty titula la visita a Pekín '11 a 13 de abril de 2011'; no hay evidencia de actividad en China el 10/04 (probable dia de embarque desde Brasilia, no de llegada).",2026-08-16
2652-BRA-USA-40807,TripStartDate;TripEndDate,2011-09-21T00:00:00 / 2011-09-22T00:00:00,2011-09-18 / 2011-09-22,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-da-presidenta-dilma-rousseff-a-nova-york-por-ocasiao-do-debate-geral-da-66-assembleia-geral-das-nacoes-unidas-18-a-22-de-setembro-de-2011-programa-de-imprensa,El programa de prensa oficial de Itamaraty cubre la visita completa '18 a 22 de setembro de 2011' (incluye lanzamiento de Open Government Partnership el 20/09 en la Casa Blanca); tanto COLT como nuestra base capturan solo una porcion del rango real.,2026-08-16
2652-BRA-BEL-40818,TripStartDate,2011-10-02T00:00:00,2011-10-03,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-oficial-da-presidenta-da-republica-dilma-rousseff-ao-reino-da-belgica-bruxelas-3-e-4-de-outubro-de-2011,Titulo oficial de Itamaraty especifica la visita a Bruselas como '3 e 4 de outubro de 2011'; sin evidencia de actividad el 02/10.,2026-08-16
2652-BRA-ZAF-40833,TripStartDate,2011-10-17T00:00:00,2011-10-18,https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/presidente-da-republica/presidente-da-republica-federativa-do-brasil-discursos/discurso-da-presidenta-da-republica-dilma-rousseff-durante-reuniao-plenaria-da-v-cupula-do-ibas-pretoria-africa-do-sul-18-10-2011,El discurso oficial de la V Cupula del IBAS esta fechado en Pretoria el 18/10/2011; no se hallo corroboracion independiente de presencia el 17/10.,2026-08-16
2652-BRA-FRA-40848,TripStartDate;TripEndDate,2011-11-01T00:00:00 / 2011-11-05T00:00:00,2011-11-03 / 2011-11-04,https://www.gov.br/mre/en/contact-us/press-area/press-releases/president-dilma-rousseff-to-take-part-in-the-6th-g20-summit-meeting-cannes-3-and-4-november-2011,"El comunicado oficial de Itamaraty titula la participacion como 'Cannes, 3 and 4 November 2011' (fechas oficiales de la Cumbre G20 de Cannes); no se hallo evidencia de actividad del 01, 02 o 05 de noviembre.",2026-08-16
2652-BRA-VEN-40878,TripStartDate;TripEndDate,2011-12-01T00:00:00 / 2011-12-02T00:00:00,2011-12-02 / 2011-12-03,https://en.wikipedia.org/wiki/2011_CELAC_summit,La cumbre fundacional de la CELAC en Caracas se realizo el 2 y 3 de diciembre de 2011; el rango de COLT (01-02) omite el segundo dia de la cumbre.,2026-08-16
2652-BRA-CHL-41300,TripEndDate,2013-01-26T00:00:00,2013-01-27,https://www.jn.pt/mundo/amp/dilma-rousseff-deixa-cimeira-no-chile-e-regressa-ao-brasil-3018492.html/,"La cumbre CELAC-UE en Santiago fue 27-28/01/2013, pero Dilma abandono la cumbre anticipadamente para regresar a Brasil por la tragedia de la boite Kiss en Santa Maria (madrugada del 27/01); su presencia real en Chile fue 26-27/01, no hasta el 28 (nuestra base) ni solo el 26 (COLT).",2026-08-16
2652-BRA-VAT-41352,TripEndDate,2013-03-20T00:00:00,2013-03-19,Search Query: Dilma Rousseff Vaticano audiencia privada Papa Francisco 19 marzo 2013,La audiencia privada con el Papa Francisco (primera jefa de Estado recibida) fue el 19/03/2013; no se hallo evidencia de actividad en el Vaticano el 20/03.,2026-08-16
2652-BRA-RUS-41520,TripStartDate,2013-09-03T00:00:00,2013-09-05,https://agenciabrasil.ebc.com.br/noticia/2013-09-05/cupula-do-g20-dilma-e-obama-ficam-lado-lado-durante-abertura,La Cumbre G20 de San Petersburgo se realizo oficialmente el 5-6 de septiembre de 2013; no hay evidencia de actividad de Dilma en Rusia el 3-4 de septiembre.,2026-08-16
2652-BRA-CUB-41666,TripEndDate,2014-01-28T00:00:00,2014-01-29,https://en.wikipedia.org/wiki/2014_CELAC_summit,La II Cumbre CELAC en La Habana se realizo el 28-29 de enero de 2014 (tras la inauguracion del puerto de Mariel el 27/01); el rango de COLT omite el segundo dia de la cumbre.,2026-08-16
2652-BRA-USA-41905,TripStartDate,2014-09-23T00:00:00,2014-09-24,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-de-alto-nivel-da-69-assembleia-geral-das-nacoes-unidas-onu-nova-york-24-de-setembro-de-2014,"El discurso de apertura de la 69a Asamblea General de la ONU esta fechado oficialmente 'Nova York, 24 de setembro de 2014'; no se hallo evidencia de actividad el 23/09.",2026-08-16
2652-BRA-AUS-41956,TripStartDate,2014-11-13T00:00:00,2014-11-15,https://en.wikipedia.org/wiki/2014_G20_Brisbane_summit,La Cumbre G20 de Brisbane se realizo oficialmente el 15-16 de noviembre de 2014; no se hallo evidencia de presencia de Dilma en Australia el 13 o 14/11.,2026-08-16
2652-BRA-PAN-42104,TripEndDate,2015-04-10T00:00:00,2015-04-11,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-das-americas-cidade-do-panama-10-e-11-de-abril-de-2015,"Titulo oficial de Itamaraty: 'VII Cupula das Americas - Cidade do Panama, 10 e 11 de abril de 2015'; COLT omite el segundo dia de la cumbre.",2026-08-16
2652-BRA-RUS-42192,TripStartDate,2015-07-07T00:00:00,2015-07-08,Search Query: BRICS summit Ufa 2015 dates July 8-9,La Cumbre BRICS de Ufa se realizo oficialmente el 8-9 de julio de 2015; sin evidencia de actividad el 07/07.,2026-08-16
2652-BRA-FRA-42336,TripStartDate,2015-11-28T00:00:00,2015-11-30,https://unfccc.int/files/meetings/paris_nov_2015/application/pdf/cop21cmp11_leaders_event_brazil.pdf,El discurso de Dilma en el Leaders Event de la COP21 esta registrado el 30/11/2015; no se hallo evidencia de actividad en Francia el 28 o 29/11.,2026-08-16
2652-BRA-ECU-42395,TripStartDate,2016-01-26T00:00:00,2016-01-27,https://www.gov.br/mre/en/contact-us/press-area/press-releases/president-dilma-rousseff-to-take-part-in-the-fourth-summit-of-the-community-of-latin-american-and-caribbean-states-celac-quito-ecuador-january-27-2016,"El comunicado oficial de Itamaraty especifica la participacion de Dilma en la IV Cumbre CELAC como 'Quito, Ecuador, January 27, 2016' (dia especifico, no el 26).",2026-08-16
3224-BRA-JPN-42660,TripStartDate;TripEndDate,2016-10-17T00:00:00 / 2016-10-18T00:00:00,2016-10-18 / 2016-10-19,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-da-republica-ao-japao-toquio-18-e-19-de-outubro-de-2016,"Titulo oficial de Itamaraty: 'Visita do Presidente da Republica ao Japao - Toquio, 18 e 19 de outubro de 2016'; Temer llego a Tokio el 17/10 mismo como dia de viaje/traslado, no como parte de la visita formal.",2026-08-16
3224-BRA-RUS-42906,TripEndDate,2017-06-22T00:00:00,2017-06-21,https://agenciabrasil.ebc.com.br/internacional/foto/2017-06/presidente-michel-temer-chega-russia-para-visita-oficial,"La visita oficial a Moscu (firma de declaracion conjunta con Putin) se confirma en 20-21/06/2017; Temer ya estaba en Oslo, Noruega, el 22/06 (siguiente etapa del viaje).",2026-08-16
3224-BRA-NOR-42908,TripEndDate,2017-06-24T00:00:00,2017-06-23,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-presidente-michel-temer-a-oslo-22-e-23-de-junho-de-2017-lista-de-hoteis,Titulo oficial de Itamaraty: 'Visita do presidente Michel Temer a Oslo - 22 e 23 de junho de 2017'; sin evidencia de actividad en Noruega el 24/06.,2026-08-16
3224-BRA-CHE-43123,TripStartDate,2018-01-23T00:00:00,2018-01-24,https://agenciabrasil.ebc.com.br/politica/noticia/2018-01/em-davos-temer-defende-reformas-em-andamento-no-pais,El primer discurso publico de Temer en el Foro Economico Mundial de Davos fue la manana del miercoles 24/01/2018; no se hallo confirmacion de su presencia el 23/01 (dia de apertura general del foro).,2026-08-16
3224-BRA-ZAF-43306,TripStartDate,2018-07-25T00:00:00,2018-07-26,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/x-cupula-dos-brics-declaracao-de-joanesburgo-27-de-julho-de-2018-ingles,"La X Cumbre BRICS se segmento en tres jornadas: Foro Empresarial (25/07, tipicamente sin jefes de Estado), reunion de lideres (26/07) y BRICS-Africa Outreach (27/07, fecha de la Declaracion de Joanesburgo); el rango de nuestra base (26-27) coincide mejor con la participacion de jefes de Estado.",2026-08-16
3224-BRA-ARG-43434,TripEndDate,2018-12-02T00:00:00,2018-12-01,Search Query: G20 Buenos Aires summit official dates 2018,La Cumbre G20 de Buenos Aires se realizo oficialmente el 30/11-01/12/2018; no se hallo evidencia de actividad en Argentina el 02/12.,2026-08-16
3224-BRA-URY-43452,TripEndDate,2018-12-20T00:00:00,2018-12-19,https://agenciabrasil.ebc.com.br/politica/noticia/2018-12/temer-vai-montevideu-para-cupula-do-mercosul,La 53a Cumbre del Mercosur en Montevideo se extendio del 18 al 19 de diciembre de 2018 (hasta el mediodia del 19); nuestra base omite el segundo dia y COLT agrega un dia adicional (20/12) sin evidencia.,2026-08-16
2652-BRA-CHL-41709,TripStartDate,2014-03-11T00:00:00,2014-03-10,https://agenciabrasil.ebc.com.br/internacional/noticia/2014-03/dilma-se-reune-com-bachelet-que-volta-presidencia-do-chile,"Dilma embarco a Chile en la noche del 10/03/2014 para asistir a la ceremonia de asuncion de Michelle Bachelet, programada al mediodia del 11/03; COLT omite el dia de llegada.",2026-08-16
3531-BRA-IND-43855,TripStartDate,2020-01-25T00:00:00,2020-01-24,https://mea.gov.in/press-releases.htm?dtl%2F32314%2FState+visit+of+President+of+Brazil+to+India= (State visit 24-27 Jan 2020),El comunicado oficial del Ministerio de Relaciones Exteriores de India confirma visita de Estado del 24 al 27 de enero de 2020.,2026-08-16
3531-BRA-URY-43891,TripEndDate,2020-03-02T00:00:00,2020-03-01,Search Query: Bolsonaro retorna Brasil 1 marco 2020 Uruguai posse Lacalle Pou (Metropoles/Agencia Brasil),Bolsonaro viajo y regreso el mismo dia; aterrizo de vuelta en Brasilia a las 21:45 del 1/3/2020 tras la asuncion de Lacalle Pou.,2026-08-16
3531-BRA-GBR-44823,TripStartDate,2022-09-19T00:00:00,2022-09-18,https://www.theguardian.com/world/2022/sep/18/bolsonaro-uses-visit-to-london-for-queens-funeral-as-election-soapbox,"El propio articulo del Guardian, publicado el 18/9/2022, ya documenta a Bolsonaro haciendo campana en Londres ese dia, antes del funeral (19/9).",2026-08-16
3531-BRA-USA-44823,TripStartDate,2022-09-19T00:00:00,2022-09-19,Search Query: Bolsonaro funeral rainha Elizabeth Londres retorno ONU (Agencia Brasil),"Bolsonaro dejo Londres la noche del 19/9 tras el funeral, rumbo a Nueva York, llegando ya de madrugada del 20/9; ambas fechas son defendibles segun se cuente salida de Londres o llegada a NY.",2026-08-16
1780-BRA-CHN-45028,TripEndDate,2023-04-14T00:00:00,2023-04-15,https://www.correiobraziliense.com.br/politica/2023/04/5086479-lula-embarca-para-china-chegada-esta-marcada-para-quarta-feira.html,La agenda oficial en China estaba programada del 12 al 15 de abril de 2023.,2026-08-16
1780-BRA-GBR-45051,TripEndDate,2023-05-06T00:00:00,2023-05-07,https://www.cnnbrasil.com.br/politica/lula-volta-ao-brasil-apos-viagem-ao-reino-unido-para-posse-de-charles-iii/,"Lula llego a Londres el viernes 5/5, la coronacion fue el sabado 6/5, y regreso a Brasilia en la madrugada del domingo 7/5/2023 tras 3 dias en el Reino Unido (CNN Brasil).",2026-08-16
1780-BRA-FRA-45098,TripStartDate,2023-06-21T00:00:00,2023-06-22,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-a-franca-do-presidente-lula-a-paris-22-e-23-de-junho-de-202,Aviso oficial del Itamaraty titula explicitamente 'Visita a Paris - 22 e 23 de junho de 2023'.,2026-08-16
1780-BRA-FRA-45098,TripEndDate,2023-06-24T00:00:00,2023-06-23,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-a-franca-do-presidente-lula-a-paris-22-e-23-de-junho-de-202,Mismo aviso oficial confirma cierre de la visita el 23/6/2023 (Cumbre por un Nuevo Pacto Financiero Global).,2026-08-16
1780-BRA-USA-45186,TripStartDate,2023-09-17T00:00:00,2023-09-16,https://www.brasildefato.com.br/2023/09/17/lula-chega-a-nova-york-para-participar-da-assembleia-geral-da-onu-confira-agenda/,"Segun Brasil de Fato y Poder360, Lula desembarco en Nueva York la noche del sabado 16/9/2023, un dia antes de lo que registran tanto COLT (17/9) como nuestra base (18/9). Proponemos corregir a 16/9.",2026-08-16
