Leader_key,Pais,LeaderFullName_ref,Periodo_label,MandateStart_1,MandateEnd_1,MandateStart_2,MandateEnd_2,Como_termino,Confianza
patricio aylwin azocar,Chile,Patricio Aylwin Azocar,1990-1994,1990-03-11,1994-03-11,,,Fin ordinario,Alta
eduardo frei ruiz-tagle,Chile,Eduardo Frei Ruiz-Tagle,1994-2000,1994-03-11,2000-03-11,,,Fin ordinario,Alta
ricardo lagos escobar,Chile,Ricardo Lagos Escobar,2000-2006,2000-03-11,2006-03-11,,,Fin ordinario,Alta
michelle bachelet,Chile,Michelle Bachelet,2006-2010; 2014-2018,2006-03-11,2010-03-11,2014-03-11,2018-03-11,"Fin ordinario, mandato 1; Fin ordinario, mandato 2",Alta; Alta
sebastian pinera,Chile,Sebastian Pinera,2010-2014; 2018-2022,2010-03-11,2014-03-11,2018-03-11,2022-03-11,"Fin ordinario, mandato 1; Fin ordinario, mandato 2",Alta; Alta
gabriel boric,Chile,Gabriel Boric,2022-2026,2022-03-11,2026-03-11,,,Fin ordinario,Alta
jose antonio kast,Chile,Jose Antonio Kast,2026-2099,2026-03-11,2099-12-31,,,En ejercicio (fin previsto 2030-03-11),Alta
jaime paz zamora,Bolivia,Jaime Paz Zamora,1989-1993,1989-08-06,1993-08-06,,,Fin ordinario,Alta
gonzalo sanchez de lozada,Bolivia,Gonzalo Sanchez de Lozada,1993-1997; 2002-2003,1993-08-06,1997-08-06,2002-08-06,2003-10-17,"Fin ordinario, mandato 1; Renuncia (Guerra del Gas), mandato 2",Alta; Alta
hugo banzer suarez,Bolivia,Hugo Banzer Suarez,1997-2001,1997-08-06,2001-08-06,,,Renuncia (enfermedad),Alta
jorge quiroga ramirez,Bolivia,Jorge Quiroga Ramirez,2001-2002,2001-08-07,2002-08-06,,,Fin ordinario (completo mandato de Banzer),Alta
carlos mesa,Bolivia,Carlos Mesa,2003-2005,2003-10-17,2005-06-09,,,Renuncia,Media
eduardo rodriguez,Bolivia,Eduardo Rodriguez,2005-2006,2005-06-09,2006-01-22,,,Fin de interinato,Media
evo morales,Bolivia,Evo Morales,2006-2019,2006-01-22,2019-11-10,,,Renuncia (crisis poselectoral),Alta
luis arce,Bolivia,Luis Arce,2020-2025,2020-11-08,2025-11-08,,,Fin ordinario,Alta
andres rodriguez,Paraguay,Andres Rodriguez,1989-1993,1989-02-03,1993-08-15,,,Fin ordinario,Baja
juan carlos wasmosy,Paraguay,Juan Carlos Wasmosy,1993-1998,1993-08-15,1998-08-15,,,Fin ordinario,Alta
raul cubas grau,Paraguay,Raul Cubas Grau,1998-1999,1998-08-15,1999-03-28,,,Renuncia (Marzo Paraguayo),Alta
luis angel gonzalez macchi,Paraguay,Luis Angel Gonzalez Macchi,1999-2003,1999-03-28,2003-08-15,,,Fin ordinario (sucesion),Media
nicanor duarte,Paraguay,Nicanor Duarte,2003-2008,2003-08-15,2008-08-15,,,Fin ordinario,Alta
fernando lugo,Paraguay,Fernando Lugo,2008-2012,2008-08-15,2012-06-22,,,Destitucion (impeachment),Alta
federico franco,Paraguay,Federico Franco,2012-2013,2012-06-22,2013-08-15,,,Fin (completo mandato de Lugo),Alta
horacio cartes,Paraguay,Horacio Cartes,2013-2018,2013-08-15,2018-08-15,,,Fin ordinario,Alta
mario abdo benitez,Paraguay,Mario Abdo Benitez,2018-2023,2018-08-15,2023-08-15,,,Fin ordinario,Alta
santiago pena,Paraguay,Santiago Pena,2023-2099,2023-08-15,2099-12-31,,,En ejercicio (fin previsto 2028-08-15),Alta
julio maria sanguinetti,Uruguay,Julio Maria Sanguinetti,1985-1990; 1995-2000,1985-03-01,1990-03-01,1995-03-01,2000-03-01,"Fin ordinario, mandato 1; Fin ordinario, mandato 2",Alta; Alta
luis alberto lacalle,Uruguay,Luis Alberto Lacalle,1990-1995,1990-03-01,1995-03-01,,,Fin ordinario,Alta
jorge batlle,Uruguay,Jorge Batlle,2000-2005,2000-03-01,2005-03-01,,,Fin ordinario,Alta
tabare vazquez,Uruguay,Tabare Vazquez,2005-2010; 2015-2020,2005-03-01,2010-03-01,2015-03-01,2020-03-01,"Fin ordinario, mandato 1; Fin ordinario, mandato 2",Alta; Alta
jose mujica,Uruguay,Jose Mujica,2010-2015,2010-03-01,2015-03-01,,,Fin ordinario,Alta
luis lacalle pou,Uruguay,Luis Lacalle Pou,2020-2025,2020-03-01,2025-03-01,,,Fin ordinario,Alta
yamandu orsi,Uruguay,Yamandu Orsi,2025-2099,2025-03-01,2099-12-31,,,En ejercicio (fin previsto 2030-03-01),Alta
virgilio barco vargas,Colombia,Virgilio Barco Vargas,1986-1990,1986-08-07,1990-08-07,,,Fin ordinario,Alta
cesar gaviria trujillo,Colombia,Cesar Gaviria Trujillo,1990-1994,1990-08-07,1994-08-07,,,Fin ordinario,Alta
ernesto samper pizano,Colombia,Ernesto Samper Pizano,1994-1998,1994-08-07,1998-08-07,,,Fin ordinario,Alta
andres pastrana arango,Colombia,Andres Pastrana Arango,1998-2002,1998-08-07,2002-08-07,,,Fin ordinario,Alta
alvaro uribe,Colombia,Alvaro Uribe,2002-2010,2002-08-07,2010-08-07,,,Fin ordinario (2 mandatos),Alta
juan manuel santos,Colombia,Juan Manuel Santos,2010-2018,2010-08-07,2018-08-07,,,Fin ordinario (2 mandatos),Alta
ivan duque,Colombia,Ivan Duque,2018-2022,2018-08-07,2022-08-07,,,Fin ordinario,Alta
gustavo petro,Colombia,Gustavo Petro,2022-2026,2022-08-07,2026-08-07,,,Fin ordinario,Alta
rodrigo borja,Ecuador,Rodrigo Borja,1988-1992,1988-08-10,1992-08-10,,,Fin ordinario,Alta
sixto duran-ballen,Ecuador,Sixto Duran-Ballen,1992-1996,1992-08-10,1996-08-10,,,Fin ordinario,Alta
abdala bucaram,Ecuador,Abdala Bucaram,1996-1997,1996-08-10,1997-02-06,,,Destituido por el Congreso,Media
fabian alarcon,Ecuador,Fabian Alarcon,1997-1998,1997-02-11,1998-08-10,,,Interino (designado por el Congreso),Media
jamil mahuad,Ecuador,Jamil Mahuad,1998-2000,1998-08-10,2000-01-21,,,Derrocado,Alta
gustavo noboa,Ecuador,Gustavo Noboa,2000-2003,2000-01-22,2003-01-15,,,Asumio como VP; completo el periodo,Alta
lucio gutierrez,Ecuador,Lucio Gutierrez,2003-2005,2003-01-15,2005-04-20,,,Destituido por el Congreso,Alta
alfredo palacio,Ecuador,Alfredo Palacio,2005-2007,2005-04-20,2007-01-15,,,Asumio como VP; completo el periodo,Alta
rafael correa,Ecuador,Rafael Correa,2007-2017,2007-01-15,2017-05-24,,,Fin ordinario (reelecto 2x),Alta
lenin moreno,Ecuador,Lenin Moreno,2017-2021,2017-05-24,2021-05-24,,,Fin ordinario,Alta
guillermo lasso,Ecuador,Guillermo Lasso,2021-2023,2021-05-24,2023-11-23,,,Muerte cruzada (disolvio la Asamblea),Alta
daniel noboa,Ecuador,Daniel Noboa,2023-2025; 2025-2099,2023-11-23,2025-05-24,2025-05-24,2099-12-31,"Completo periodo de Lasso; Reelecto, mandato completo (fin previsto 2029-05-24)",Alta; Alta
alan garcia,Peru,Alan Garcia,1985-1990; 2006-2011,1985-07-28,1990-07-28,2006-07-28,2011-07-28,"Fin ordinario, mandato 1; Fin ordinario, mandato 2",Alta; Alta
alberto fujimori,Peru,Alberto Fujimori,1990-2000,1990-07-28,2000-11-21,,,Renuncia por fax; vacancia declarada por el Congreso,Alta
alejandro toledo,Peru,Alejandro Toledo,2001-2006,2001-07-28,2006-07-28,,,Fin ordinario,Alta
ollanta humala,Peru,Ollanta Humala,2011-2016,2011-07-28,2016-07-28,,,Fin ordinario,Alta
pedro pablo kuczynski,Peru,Pedro Pablo Kuczynski,2016-2018,2016-07-28,2018-03-23,,,Renuncia,Alta
martin vizcarra,Peru,Martin Vizcarra,2018-2020,2018-03-23,2020-11-09,,,Vacado por el Congreso,Alta
pedro castillo,Peru,Pedro Castillo,2021-2022,2021-07-28,2022-12-07,,,Destituido/detenido (intento de autogolpe),Alta
dina boluarte,Peru,Dina Boluarte,2022-2025,2022-12-07,2025-10-10,,,Removida/vacada por el Congreso,Alta
jose jeri,Peru,Jose Jeri,2025-2026,2025-10-10,2026-02-17,,,Sucesion constitucional; luego censurado/destituido,Alta
carlos andres perez,Venezuela,Carlos Andres Perez,1989-1993,1989-02-02,1993-05-21,,,Suspendido/destituido (antejuicio de merito),Media
ramon jose velasquez,Venezuela,Ramon Jose Velasquez,1993-1994,1993-06-05,1994-02-02,,,Interino,Alta
rafael caldera,Venezuela,Rafael Caldera,1994-1999,1994-02-02,1999-02-02,,,Fin ordinario,Alta
hugo chavez,Venezuela,Hugo Chavez,1999-2013,1999-02-02,2013-03-05,,,Murio en el cargo,Alta
nicolas maduro,Venezuela,Nicolas Maduro,2013-2026,2013-04-19,2026-01-03,,,"Capturado por EEUU (Operacion Absolute Resolve, 3-ene-2026); fin efectivo de su gestion",Alta
delcy rodriguez,Venezuela,Delcy Rodriguez,2026-2099,2026-01-05,2099-12-31,,,"Presidenta encargada (sucesion VP invocada por el TSJ tras la captura de Maduro); en ejercicio, sin fecha de elecciones fijada",Alta
desmond hoyte,Guyana,Desmond Hoyte,1985-1992,1985-08-06,1992-10-09,,,Fin de mandato (derrotado en elecciones),Alta
cheddi jagan,Guyana,Cheddi Jagan,1992-1997,1992-10-09,1997-03-06,,,Murio en el cargo,Media
janet jagan,Guyana,Janet Jagan,1997-1999,1997-12-19,1999-08-11,,,Renuncia (salud),Media
bharrat jagdeo,Guyana,Bharrat Jagdeo,1999-2011,1999-08-11,2011-12-03,,,Fin de mandato (limite constitucional),Alta
donald ramotar,Guyana,Donald Ramotar,2011-2015,2011-12-03,2015-05-16,,,Fin de mandato,Alta
david granger,Guyana,David Granger,2015-2020,2015-05-16,2020-08-02,,,Fin de mandato,Alta
irfaan ali,Guyana,Irfaan Ali,2020-2099,2020-08-02,2099-12-31,,,En ejercicio,Alta
ramsewak shankar,Suriname,Ramsewak Shankar,1988-1990,1988-01-25,1990-12-24,,,Depuesto por golpe militar,Alta
johan kraag,Suriname,Johan Kraag,1990-1991,1990-12-29,1991-09-16,,,Interino,Media
ronald venetiaan,Suriname,Ronald Venetiaan,1991-1996; 2000-2010,1991-09-16,1996-09-15,2000-08-12,2010-08-12,"Fin de mandato, mandato 1; Fin de mandato, mandato 2 (incl. reeleccion 2005)",Alta; Alta
jules wijdenbosch,Suriname,Jules Wijdenbosch,1996-2000,1996-09-15,2000-08-12,,,Fin de mandato,Alta
desi bouterse,Suriname,Desi Bouterse,2010-2020,2010-08-12,2020-07-16,,,Fin de mandato,Alta
chandrikapersad santokhi,Suriname,Chandrikapersad Santokhi,2020-2025,2020-07-16,2025-07-16,,,Fin de mandato,Alta
jennifer geerlings-simons,Suriname,Jennifer Geerlings-Simons,2025-2099,2025-07-16,2099-12-31,,,En ejercicio,Alta
valentin paniagua,Peru,Valentin Paniagua,2000-2001,2000-11-22,2001-07-28,,,Presidente de transicion (sucesion constitucional tras renuncia de Fujimori); entrego el poder tras elecciones,Alta
manuel merino,Peru,Manuel Merino,2020,2020-11-10,2020-11-15,,,Renuncia a los 5 dias por protestas masivas con 2 muertos,Alta
francisco sagasti,Peru,Francisco Sagasti,2020-2021,2020-11-17,2021-07-28,,,Presidente de transicion (designado por el Congreso); entrego el poder tras elecciones,Alta
jose maria balcazar,Peru,Jose Maria Balcazar,2026,2026-02-17,2026-07-28,,,Designado por el Congreso tras vacancia de Jose Jeri; condujo la transicion hasta las elecciones,Alta
keiko fujimori,Peru,Keiko Fujimori,2026-2031,2026-07-28,2031-07-28,,,En curso (electa 2026, mandato hasta 2031),Alta
abelardo de la espriella,Colombia,Abelardo de la Espriella,2026-2030,2026-08-07,2030-08-07,,,En ejercicio (electo 2026, mandato hasta 2030),Alta
