TripID,LeaderID,LeaderCountryOrIGO,LeaderCountryISO,LeaderRegion,LeaderSubregion,PriorityLeader,LeaderRole,LeaderTitle,LeaderSurname,LeaderFullName,Exiled,CountryVisited,CountryVisitedISO,RegionVisited,SubRegionVisited,CityVisited,DisputedTerritory,SemiAutoTerritory,TripYear,TripStartDate,TripEndDate,TripDuration,SubHOGSTravelWithHOGS,CotravelHOGS,MetHostHoGS,HostHOGSName,SubHOGSmetHostSubHOGS,HostSubHOGSName,AttendedMultilatEvent,NameMultilatEvent,AttendedMultilatMinisterialEvent,NameMultilatMinisterialEvent,MetNonhostHOGS,NonhostHOGSNames,PublicAddress,SignedAgreement,CulturalSiteOrCeremony,BusinessLeaderOrForum,MetIGOLeader,IGOLeaderName,Notes,Confidence(1-5),SourceLink1,SourceLink2,SourceLink3,SourceLink4,SourceLink5,SourceLink6,SourceLink7,SourceLink8,SourceLink9,SourceLink10,SourceLink11,SourceLink12,SourceLink13,SourceLink14,SourceLink15,SourceLink16,SourceLink17,SourceLink18,SourceLink19,SourceLink20,SourceLink21,SourceLink22,SourceLink23,SourceLink24,SourceLink25,SourceLink26,SourceLink27,SourceLink28,SourceLink29,SourceLink30,SourceLink31,SourceLink32,SourceLink33
334-ARG-CHN-34974,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,China,CHN,Asia,Eastern Asia,Beijing,No,No,1995,1995-10-02,1995-10-05,4,No,,Yes,General Secretary Jiang Zemin,No,,No,,No,,No,,No,Yes,Yes,Yes,No,,Visited local museum of Terracotta;which President said reflected China's history and culture,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-11E7960FE9E109F0@2449995-11E796133762B9E8@11-11E796138B8F6960@Tours%20Xian%202%20Oct&p_docnum=2,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-11E7960FE9E109F0@2449995-11E796139731D9D8@12-11E79613C2E5C2A0@Visits%20Shanghai%2C%20Meets%20Mayor&p_docnum=3,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-11E59D2B812B8F80@2449997-11E59D3222C179E8@16-11E59D3289C34868@Holds%20Talks%20With%20Jiang%20Zemin&p_docnum=5,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-11E59D2B812B8F80@2449997-11E59D32960325A8@17-11E59D32E53859D0@Discusses%20Ties%20With%20Zhu%20Rongji&p_docnum=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-PHL-34977,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Philippines,PHL,Asia,Southeastern Asia,Manila,No,No,1995,1995-10-05,1995-10-09,5,No,,Yes,President Fidel Ramos,No,,No,,No,,No,,No,Yes,No,Yes,No,,,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/1554532654?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/319141441?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/1554533835?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-USA-34994,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,United States,USA,Northern America,North America,New York,No,No,1995,1995-10-22,1995-10-25,4,No,,No,,No,,Yes,United Nations (UN) General Assembly,No,,Yes,President Jacques Chirac;Prime Minister Yitzhak Rabin;Prime Minister John Major,Yes,No,Yes,No,No,,50th anniversairy celebrations marking founding of the UN,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-124E105207FAADC8@2450015-124E10608527CB30@53-124E1060CEDD4470@Menem%20Meets%20Chirac%2C%20Other%20Leaders%20at%20United%20Nations&p_docnum=14,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-124E105207FAADC8@2450015-124E105E6272D900@47-124E105E91658D60@Menem%20Meets%20Rabin%20on%20Incident&p_docnum=17,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&p_action=doc&p_docref=v2:11C33B0D5F860D98@FBISX-124E105207FAADC8@2450015-124E105FC220BD20-124E106015369A60,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-12E542582D5EF998@2450015-12E5425B77337C28@12-12E5425BA59379F0@Major%2C%20Argentina%27s%20Menem%20Hold%20%27Constructive%27%20Talk&p_docnum=22,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-12F5BD40A0CF46D8@2450021-12F5BD4132CA4DD8@2-12F5BD41645E41C8@Iliescu%20Meets%20Politicians%2C%20Businessmen%20in%20U.S.&p_docnum=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-URY-35040,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Uruguay,URY,Latin America and the Caribbean,South America,Punta del Este,No,No,1995,1995-12-07,1995-12-07,1,No,,No,,No,,Yes,Common Market of the South (MERCOSUR) Summit,No,,No,,No,Yes,No,No,No,,Attended a Common Market of the South (MERCOSUR) Summit in Punta del Este;Signed a joint document,2,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-12386A7D27F54B38@2450060-12386A7DC36B7148@3-12386A7DFA04AD28@no%20%27Basic%20Agreement%27%20With%20Chile&p_docnum=49,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/311234423?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-ESP-35048,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Spain,ESP,Europe,Southern Europe,Madrid,No,No,1995,1995-12-15,1995-12-16,2,No,,No,,No,,Yes,European Council Summit,No,,No,,No,Yes,No,No,No,,,1,http://infoweb.newsbank.com.du.idm.oclc.org/iw-search/we/HistArchive/?p_product=FBISX&p_theme=fbis&p_nbid=L4FM56WLMTUwNzAwNjA5Ni4yNTcwNjA6MToxNToxMzIuMTc0LjI1NC4xMTY&d_db=FBIS&p_action=doc&s_lastNonissuequeryname=17&p_queryname=17&p_docref=v2:11C33B0D5F860D98@FBISX-12386C233068E9F0@2450066-12386C2B8931CA50@29-12386C2BAF707090@Menem%20Departs%2013%20Dec%20for%20Geneva%2C%20Madrid&p_docnum=54,http://www.gettyimages.com/license/607451082,http://www.gettyimages.com/license/51994329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-CHE-35100,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Switzerland,CHE,Europe,Western Europe,Davos,No,No,1996,1996-02-05,1996-02-06,2,No,,No,,No,,Yes,World Economic Forum (WEF) Davos,No,,No,,Yes,No,No,No,No,,Delivered a speech at the World Economic Forum (WEF) Davos,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/311230169?accountid=14608,http://www.gettyimages.com/license/542269982,https://du.idm.oclc.org/login?url=https://www.proquest.com/newspapers/ya-paso-efecto-tequila/docview/316361743/se-2?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-FRA-35121,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,France,FRA,Europe,Western Europe,Paris,No,No,1996,1996-02-26,1996-02-27,2,No,,Yes,President Jacques Chirac,No,,No,,No,,No,,No,No,No,No,No,,Mercosur signs agreement with the EU.,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/312457565?accountid=14608,http://www.gettyimages.com/license/583334450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-SLV-35191,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,El Salvador,SLV,Latin America and the Caribbean,Central America,San Salvador,No,No,1996,1996-05-06,1996-05-07,2,No,,No,,No,,No,,No,,No,,No,No,No,No,No,,,4,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/311260707?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-HND-35192,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Honduras,HND,Latin America and the Caribbean,Central America,Tegucigalpa,No,No,1996,1996-05-07,1996-05-08,2,No,,No,,No,,No,,No,,No,,No,No,No,No,No,,,3,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/311260707?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-PAN-35196,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Panama,PAN,Latin America and the Caribbean,Central America,Panama City,No,No,1996,1996-05-11,1996-05-12,2,No,,No,,No,,No,,No,,No,,No,Yes,No,No,No,,,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/311257846?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/316339636?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-LUX-35224,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Luxembourg,LUX,Europe,Western Europe,Luxembourg City,No,No,1996,1996-06-08,1996-06-10,3,No,,No,,No,,No,,No,,No,,Yes,No,No,No,No,,Also took part in an EU-Mercosur Ministeral Meeting;but unclear if other HoGS were present. Proposed creation of an EU-Mercosur business Forume,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/230420457?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/248191791?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-BEL-35226,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,Belgium,BEL,Europe,Western Europe,Brussels,No,No,1996,1996-06-10,1996-06-12,3,No,,No,,No,,No,,No,,No,,No,No,No,No,No,,,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/248191791?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/230415582?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/230412188?accountid=14608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334-ARG-USA-35263,334,Argentina,ARG,Latin America and the Caribbean,South America,Yes,GS,President,Menem,Carlos Saul Menem,0,United States,USA,Northern America,North America,Washington,No,No,1996,1996-07-17,1996-07-21,5,No,,No,,No,,No,,No,,No,,Yes,No,No,Yes,No,,,1,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/258310886?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/258324113?accountid=14608,http://du.idm.oclc.org/login?url=https://search-proquest-com.du.idm.oclc.org/docview/293182646?accountid=14608,http://www.gettyimages.com/license/51977389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
