Trip_ID,President,Start_Date,End_Date,Destination_Country,Destination_City,Visit_Subtype,Counterpart_Event,Trip_Objective,Source_Verification,Source_Reliability
53,Michelle Bachelet,2009-09-23,2009-09-24,United States,New York,Global Forum,64ª AGNU,Asamblea General de la ONU.,https://gadebate.un.org/en/64/chile,High
67,Sebastián Piñera,2010-12-03,2010-12-04,Argentina,Mar del Plata,Regional Summit,XX Cumbre Iberoamericana,Cumbre Iberoamericana de Mar del Plata; homenaje a Nestor Kirchner (fallecido en oct).,https://segib.org/es/inaugurada-la-xx-cumbre-iberoamericana-de-mar-del-plata/,High
69,Sebastián Piñera,2011-04-28,2011-04-28,Peru,Lima,Regional Summit,Cumbre fundacional de la Alianza del Pacífico,"Creacion de la Alianza del Pacifico (Chile, Peru, Colombia, Mexico). HITO de su politica exterior.",https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf,High
71,Sebastián Piñera,2011-09-21,2011-09-22,United States,New York,Global Forum,66ª AGNU,Asamblea General de la ONU.,https://www.chile.gob.cl/chile/blog/onu/nueva-york/presidente-pinera-interviene-en-asamblea-general-de-la-onu,High
72,Sebastián Piñera,2011-10-28,2011-10-29,Paraguay,Asunción,Regional Summit,XXI Cumbre Iberoamericana,Cumbre Iberoamericana de Asuncion; transformacion del Estado.,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-interviene-en-cumbre-iberoamericana-de-paraguay,High
75,Sebastián Piñera,2012-04-14,2012-04-15,Colombia,Cartagena,Regional Summit,VI Cumbre de las Américas,VI Cumbre de las Americas de Cartagena.,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2012.pdf,High
82,Sebastián Piñera,2013-08-15,2013-08-15,Paraguay,Asunción,Inauguration/Funeral,Asunción de Horacio Cartes,Asuncion de Horacio Cartes en Paraguay.,https://www.chile.gob.cl/chile/blog/paraguay/asuncion/presidente-pinera-en-paraguay-tenemos-la-firme-voluntad-e-intencion-de,High
84,Sebastián Piñera,2014-02-10,2014-02-10,Colombia,Cartagena,Regional Summit,VIII Cumbre de la Alianza del Pacífico,Cumbre de la Alianza del Pacifico en Cartagena; ULTIMO viaje del mandato.,https://www.cancilleria.gov.co/newsroom/news/presidente-chile-sebastian-pinera-primer-mandatario-llegar-cartagena-asistir-viii,High
86,Michelle Bachelet,2014-06-19,2014-06-20,Mexico,Punta Mita,Regional Summit,IX Cumbre de la Alianza del Pacífico,Cumbre de la Alianza del Pacifico en Punta Mita.,https://www.gob.mx/se/prensa/se-realizara-la-ix-cumbre-de-la-alianza-del-pacifico-nayarit,Medium
88,Michelle Bachelet,2014-12-08,2014-12-09,Mexico,Veracruz,Regional Summit,XXIV Cumbre Iberoamericana,Cumbre Iberoamericana de Veracruz.,https://es.wikipedia.org/wiki/XXIV_Cumbre_Iberoamericana,Medium
89,Michelle Bachelet,2015-03-01,2015-03-01,Uruguay,Montevideo,Inauguration/Funeral,Asunción de Tabaré Vázquez,Asuncion de Tabare Vazquez en Uruguay.,https://www.lr21.com.uy/politica/1219289-tabare-vazquez-asuncion-presidente-uruguay-2015-2020,Medium
94,Michelle Bachelet,2015-07-02,2015-07-03,Peru,Paracas,Regional Summit,X Cumbre de la Alianza del Pacífico,Cumbre de la Alianza del Pacifico en Paracas.,https://elcomercio.pe/politica/gobierno/presidentes-alianza-pacifico-llegan-hoy-paracas-171066-noticia/,Medium
97,Michelle Bachelet,2015-11-30,2015-12-01,France,Paris,Global Forum,COP21 (Conferencia del Clima),Segmento de lideres de la COP21 que adopto el Acuerdo de Paris.,https://cooperativa.cl/noticias/sociedad/medioambiente/clima/bachelet-entrego-su-solidaridad-a-francia-en-inicio-de-cumbre-del-clima/2015-11-30/105436.html,Medium
98,Michelle Bachelet,2016-01-27,2016-01-27,Ecuador,Quito,Regional Summit,IV Cumbre CELAC,Cumbre CELAC en Quito.,https://es.wikipedia.org/wiki/IV_Cumbre_de_la_CELAC_de_2016,Medium
99,Michelle Bachelet,2016-05-13,2016-05-14,China,Beijing,State Visit,Xi Jinping,"Visita de Estado a China; profundizacion del TLC y asociacion estrategica. Viaje independiente (ver QA 2026-07-22: separado del tramo Jakarta 2017, que era un viaje distinto).",https://www.chile.gob.cl/chile/blog/china/beijing/visita-de-estado-de-presidenta-bachelet-profundiza-la-relacion-con-china,High
152,Gabriel Boric,2023-01-01,2023-01-02,Brazil,Brasília,Inauguration/Funeral,Asunción de Luiz Inácio Lula da Silva,Investidura de Lula.,https://www.biobiochile.cl/noticias/nacional/chile/2023/01/01/presidente-boric-ya-esta-en-brasil-para-investidura-de-lula-da-silva-viajo-junto-a-ricardo-lagos-e.shtml,Medium
158,Gabriel Boric,2023-07-19,2023-07-20,Switzerland,Ginebra,Working Visit,CERN / OMS (Tedros Adhanom),Visita al CERN (Chile miembro asociado) y encuentro con el director general de la OMS.,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html,High
159,Gabriel Boric,2023-07-21,2023-07-21,France,París,Working Visit,Emmanuel Macron,Cierre de la gira europea; bilateral con Macron.,https://www.emol.com/noticias/Nacional/2023/07/07/1100363/gira-europa-presidente-gabriel-boric.html,High
177,Gabriel Boric,2025-02-28,2025-03-01,Uruguay,Montevideo,Inauguration/Funeral,Asunción de Yamandú Orsi,Investidura de Orsi; bilaterales con Arce y Penia; cena de lideres progresistas.,https://www.df.cl/economia-y-politica/gobierno/boric-viaja-a-uruguay-a-transmision-del-mando-en-que-asumira-el-presidente,High
186,José Antonio Kast,2026-04-05,2026-04-06,Argentina,Buenos Aires,Working Visit,Javier Milei,"Primer viaje internacional; comercio, energia, seguridad, mineria e integracion fronteriza; apoyo a soberania argentina sobre Malvinas.",https://www.gob.cl/noticias/presidente-jose-antonio-kast-realiza-primer-viaje-internacional-reunion-trabajo-presidente-argentina-javier-milei/,High
187,José Antonio Kast,2026-06-29,2026-06-30,Paraguay,Asunción,Regional Summit,LXVIII Cumbre del MERCOSUR,"Debut en cumbre regional; lucha coordinada contra el crimen organizado y comercio seguro; bilaterales con Penia, Lula y el canciller aleman Wadephul.",https://prensa.presidencia.cl/fotonoticia.aspx?id=333191,High
188,José Antonio Kast,2026-07-01,2026-07-01,Uruguay,Montevideo,Working Visit,Yamandú Orsi,Visita oficial; firma de dos acuerdos (firma digital; MOU Instituto Artigas-Academia Andres Bello); invitacion al Compromiso de Santiago.,https://prensa.presidencia.cl/fotonoticia.aspx?id=333293,High
191,Gabriel Boric,2024-07-24,2024-07-28,France,París,Global Forum,Juegos Olímpicos París 2024 (ceremonia inaugural) / Cumbre por el Deporte y el Desarrollo Sostenible (convocada por Macron),Ceremonia inaugural JJOO Paris 2024 (invitacion COCh); participacion en Cumbre por el Deporte y Desarrollo Sostenible de Macron con 60+ jefes de Estado; recepcion a deportistas chilenos.,https://www.latercera.com/politica/noticia/boric-visitara-francia-para-participar-de-ceremonia-inaugural-y-actividades-oficiales-de-los-juegos-olimpicos-2024/2JB5ZOILERBUZOBSYT56OK6ADU/,Medium
206,Ricardo Lagos,2000-12-14,2000-12-15,Brazil,Florianópolis,Regional Summit,"XIX Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XIX Cumbre de Jefes de Estado del MERCOSUR.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2000,High
215,Ricardo Lagos,2001-12-20,2001-12-21,Uruguay,Montevideo,Regional Summit,"XX Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XX Cumbre de Jefes de Estado del MERCOSUR en Montevideo.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2001,High
220,Ricardo Lagos,2002-04-11,2002-04-12,Costa Rica,San José,Regional Summit,Cumbre del Grupo de Río,Participación en la Cumbre del Grupo de Río en San José.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002,High
229,Ricardo Lagos,2002-11-14,2002-11-14,Honduras,Tegucigalpa,State Visit,Ricardo Maduro,"Visita oficial a Honduras, previa a la XII Cumbre Iberoamericana en República Dominicana.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2002,High
236,Ricardo Lagos,2003-05-25,2003-05-25,Argentina,Buenos Aires,Inauguration/Funeral,Transmisión del Mando de Néstor Kirchner,Asistencia a la asunción de Néstor Kirchner.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2003,High
237,Ricardo Lagos,2003-06-18,2003-06-18,Paraguay,Asunción,Regional Summit,"XXIV Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XXIV Cumbre de Jefes de Estado del MERCOSUR en Asunción.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2003,High
245,Ricardo Lagos,2003-12-15,2003-12-16,Uruguay,Montevideo,Regional Summit,"XXV Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XXV Cumbre de Jefes de Estado del MERCOSUR en Montevideo.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2003,High
251,Ricardo Lagos,2004-04-25,2004-04-27,South Africa,Pretoria,Inauguration/Funeral,Transmisión del Mando de Thabo Mbeki (segundo mandato) / 10º aniversario de la democracia,Asistencia a la investidura de Thabo Mbeki y conmemoración de los 10 años del fin del apartheid; primer tramo de gira Sudáfrica-Indonesia-Singapur-Nueva Zelanda.,https://www.emol.com/noticias/nacional/2004/04/25/145881/presidente-lagos-inicia-gira-internacional.html,Medium
258,Ricardo Lagos,2004-07-07,2004-07-08,Argentina,Puerto Iguazú,Regional Summit,"XXVI Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XXVI Cumbre de Jefes de Estado del MERCOSUR en Puerto Iguazú.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2004,High
262,Ricardo Lagos,2004-08-31,2004-08-31,Argentina,Buenos Aires,Working Visit,Néstor Kirchner,"Visita de trabajo a Argentina, previa a la asunción de Martín Torrijos en Panamá.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2004,High
263,Ricardo Lagos,2004-09-01,2004-09-01,Panama,Panama City,Inauguration/Funeral,Transmisión del Mando de Martín Torrijos,Asistencia a la asunción de Martín Torrijos.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2004,High
265,Ricardo Lagos,2004-09-22,2004-09-22,Mexico,Mexico City,Working Visit,Vicente Fox,"Visita de trabajo a México, tras la Asamblea General de la ONU en Nueva York.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2004,High
283,Ricardo Lagos,2005-05-14,2005-05-15,United States,Durham,Working Visit,Universidad de Duke,"Visita a la Universidad de Duke, Carolina del Norte.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
288,Ricardo Lagos,2005-09-01,2005-09-03,Colombia,Bogotá,State Visit,Álvaro Uribe,Visita de Estado a Colombia (Bogotá y Cartagena de Indias).,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
290,Ricardo Lagos,2005-09-29,2005-09-30,Brazil,Brasília,Regional Summit,II Cumbre Sudamericana (Comunidad Sudamericana de Naciones),Participación en la II Cumbre Sudamericana en Brasilia.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
291,Ricardo Lagos,2005-10-06,2005-10-06,United States,New York,Global Forum,Council of the Americas,Participación en foro del Council of the Americas en Nueva York.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
294,Ricardo Lagos,2005-10-21,2005-10-23,Vatican City,Vatican City,State Visit,Canonización del Padre Alberto Hurtado (Benedicto XVI),Asistencia a la canonización de San Alberto Hurtado en el Vaticano.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
295,Ricardo Lagos,2005-10-24,2005-10-25,France,Strasbourg,Working Visit,Parlamento Europeo / actividades en Estrasburgo,"Visita de trabajo a Estrasburgo, tras la canonización del Padre Hurtado en el Vaticano.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
296,Ricardo Lagos,2005-10-25,2005-10-25,Spain,Salamanca,Working Visit,Universidad de Salamanca,"Actividad académica en la Universidad de Salamanca, cierre de gira Vaticano-Estrasburgo-Salamanca.",https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
299,Ricardo Lagos,2005-12-08,2005-12-09,Uruguay,Montevideo,Regional Summit,"XXIX Cumbre de Jefes de Estado del MERCOSUR, Bolivia y Chile",Participación en la XXIX Cumbre de Jefes de Estado del MERCOSUR en Montevideo; último viaje multilateral del mandato.,https://arle.udp.cl/index.php/giras-internacionales-de-su-excelencia-el-presidente-de-la-republica-don-ricardo-lagos-y-senora-luisa-duran-de-lagos-ano-2005,High
308,Michelle Bachelet,2009-06-01,2009-06-01,El Salvador,San Salvador,Inauguration/Funeral,Transmisión del Mando de Mauricio Funes,"Asistencia a la asunción de Mauricio Funes, primer presidente del FMLN en El Salvador.",https://es.wikipedia.org/wiki/Investidura_presidencial_de_Mauricio_Funes,Medium
310,Michelle Bachelet,2009-08-10,2009-08-10,Ecuador,Quito,Regional Summit,III Reunión Ordinaria de UNASUR (traspaso de presidencia pro tempore a Rafael Correa),"Participación en la III Reunión Ordinaria de UNASUR en Quito, donde Bachelet traspasó la presidencia pro tempore a Rafael Correa; coincide con la segunda asunción de Correa bajo la nueva Constitución.",https://www.diariodecuyo.com.ar/argentina/Cristina-llego-a-Ecuador-para-la-asuncion-de-Rafael-Correa-20090809-0027.html,Medium
311,Michelle Bachelet,2009-12-17,2009-12-17,Denmark,Copenhagen,Global Forum,COP15 - XV Conferencia de las Partes de la CMNUCC,Discurso de Bachelet en el segmento de alto nivel de la COP15 sobre cambio climático y multilateralismo.,https://speechbank.un.org/sites/default/files/2023-03/sp_00015_chi_unfccc_cop15_2009.pdf,High
313,Sebastián Piñera,2010-05-25,2010-05-25,Argentina,Buenos Aires,Inauguration/Funeral,Bicentenario de la Independencia de Argentina / Cristina Fernández de Kirchner,Presidió la delegación chilena en los festejos del Bicentenario argentino; participó en la inauguración de la Galería Patriotas Latinoamericanos en la Casa Rosada junto a otros jefes de Estado.,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2010__rev_abril_2014_.pdf,High
314,Sebastián Piñera,2010-10-28,2010-10-28,Argentina,Buenos Aires,Inauguration/Funeral,Funeral de Néstor Kirchner,"Viajó junto a la Primera Dama Cecilia Morel, el Canciller Moreno y los presidentes del Senado y la Cámara de Diputados para participar en las exequias del ex Presidente Néstor Kirchner; Chile decretó tres días de duelo nacional.",https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_2010__rev_abril_2014_.pdf,High
323,Sebastián Piñera,2011-12-02,2011-12-03,Venezuela,Caracas,Regional Summit,I Cumbre de la CELAC,Participó en la Cumbre fundacional de la Comunidad de Estados Latinoamericanos y Caribeños (CELAC) en Caracas; Hugo Chávez traspasó la presidencia pro tempore del organismo a Piñera para el período 2012.,https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf,High
324,Sebastián Piñera,2011-12-04,2011-12-05,Mexico,Mérida,Regional Summit,II Cumbre de la Alianza del Pacífico y XIII Cumbre del Mecanismo de Tuxtla,"Participó como invitado especial en la II Cumbre de la Alianza del Pacífico y en la XIII Cumbre del Mecanismo de Diálogo y Concertación de Tuxtla, en Mérida, Yucatán.",https://www.minrel.gob.cl/minrel/site/docs/20250624/20250624125818/memoria_minrel_2011_2.pdf,High
